,static %,dynamic %,0.10m,0.20m,0.50m
0,5,0,45.801,70.214,86.02
1,10,0,76.474,94.262,98.07
2,15,0,83.985,96.922,99.374
3,20,0,86.385,97.6,99.948
4,25,0,90.089,99.113,99.896
5,30,0,90.245,98.748,99.948
6,35,0,91.132,99.478,99.948
7,40,0,91.706,99.374,100.0
8,45,0,92.28,99.322,100.0
9,50,0,92.436,99.531,100.0
10,55,0,92.384,99.531,99.948
11,60,0,93.219,99.478,100.0
12,65,0,93.323,99.531,100.0
13,70,0,92.906,99.478,100.0
14,75,0,93.01,99.687,100.0
15,80,0,93.375,99.791,100.0
16,85,0,93.219,99.791,100.0
17,90,0,93.532,99.687,100.0
18,95,0,93.584,99.791,100.0
19,100,0,93.427,99.844,100.0
20,5,100,42.984,66.667,82.055
21,10,100,62.963,81.481,91.132
22,15,100,70.631,85.811,94.158
23,20,100,76.995,89.671,96.192
24,25,100,80.021,91.341,96.974
25,30,100,80.647,92.54,97.131
26,35,100,82.89,93.636,97.757
27,40,100,84.403,95.357,97.757
28,45,100,85.237,95.305,97.809
29,50,100,86.698,95.983,97.966
30,55,100,87.376,96.14,97.966
31,60,100,87.48,96.505,98.122
32,65,100,88.732,96.661,98.122
33,70,100,89.671,97.287,98.383
34,75,100,89.619,97.392,98.383
35,80,100,89.932,97.757,98.592
36,85,100,90.297,97.757,98.539
37,90,100,90.975,97.653,98.696
38,95,100,91.445,98.279,98.696
39,100,100,91.601,98.592,99.113
