,static %,dynamic %,"day, 0.25m, 2°","day, 0.50m, 5°","day, 5.00m, 10°"
0,5,0,62.4,73.4,82.3
1,10,0,76.5,85.4,93.2
2,15,0,80.8,89.9,95.5
3,20,0,82.4,90.9,96.7
4,25,0,83.1,91.7,96.4
5,30,0,84.2,92.4,97.0
6,35,0,83.3,92.4,97.5
7,40,0,84.6,93.2,97.1
8,45,0,84.1,92.1,97.3
9,50,0,85.3,93.1,97.7
10,55,0,86.7,93.9,97.8
11,60,0,86.2,93.4,97.7
12,65,0,85.6,93.9,98.1
13,70,0,86.2,94.5,98.1
14,75,0,86.3,94.1,97.8
15,80,0,86.7,94.3,97.9
16,85,0,86.9,94.7,98.4
17,90,0,86.5,94.9,98.2
18,95,0,86.8,95.1,98.3
19,100,0,87.0,94.5,98.3
20,5,100,62.1,73.1,83.5
21,10,100,76.1,85.9,92.6
22,15,100,79.5,88.7,95.3
23,20,100,82.2,91.1,95.9
24,25,100,84.6,91.1,96.8
25,30,100,85.0,91.5,97.2
26,35,100,84.8,92.2,97.1
27,40,100,83.6,92.0,97.1
28,45,100,84.3,92.5,97.6
29,50,100,84.8,93.3,97.6
30,55,100,87.0,93.6,97.8
31,60,100,85.7,93.7,98.1
32,65,100,86.5,94.1,97.9
33,70,100,86.7,94.4,97.9
34,75,100,86.2,93.7,98.1
35,80,100,86.3,94.3,98.2
36,85,100,86.2,94.1,98.1
37,90,100,86.5,94.5,98.2
38,95,100,87.4,95.0,98.2
39,100,100,86.8,94.3,98.3
