,static %,dynamic %,"day, 0.25m, 2°","day, 0.50m, 5°","day, 5.00m, 10°"
0,5,0,64.2,73.4,81.4
1,10,0,75.7,86.8,92.4
2,15,0,81.6,90.7,95.5
3,20,0,81.2,91.4,96.2
4,25,0,82.6,91.6,96.6
5,30,0,84.1,91.3,96.8
6,35,0,85.0,93.0,97.5
7,40,0,85.4,93.0,97.6
8,45,0,85.8,93.4,97.6
9,50,0,85.0,93.4,97.5
10,55,0,85.7,93.9,97.9
11,60,0,85.8,94.2,98.2
12,65,0,86.3,94.1,97.9
13,70,0,86.5,93.9,98.1
14,75,0,87.0,94.1,98.1
15,80,0,86.4,94.2,98.1
16,85,0,86.8,94.2,98.2
17,90,0,86.8,94.7,98.3
18,95,0,86.9,94.8,98.7
19,100,0,87.5,94.5,98.3
20,5,100,62.7,73.9,83.1
21,10,100,76.1,85.8,92.7
22,15,100,81.2,89.4,95.1
23,20,100,82.0,91.6,96.2
24,25,100,84.3,92.2,97.0
25,30,100,83.0,91.6,97.0
26,35,100,85.0,92.6,97.0
27,40,100,84.0,92.8,97.2
28,45,100,84.7,92.8,97.3
29,50,100,85.0,92.7,97.5
30,55,100,85.3,93.7,97.7
31,60,100,85.9,93.9,98.1
32,65,100,86.2,94.3,97.9
33,70,100,85.8,93.4,97.8
34,75,100,87.3,94.4,98.2
35,80,100,87.3,94.9,98.2
36,85,100,87.3,94.5,98.2
37,90,100,86.7,93.6,98.2
38,95,100,86.9,94.3,97.8
39,100,100,86.7,94.4,98.2
