/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
mode: ORB
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,22,224,23,236,22,222
1,23,230,23,235,22,228
2,20,207,23,235,22,225
3,20,201,22,223,22,228
4,20,209,21,219,21,219
5,22,227,20,205,22,229
6,21,216,21,215,24,248
7,22,227,23,238,24,248
8,21,218,21,217,23,235
9,22,225,21,219,23,230
10,23,239,22,228,23,235
11,22,222,22,224,23,239
12,22,221,22,226,22,224
13,22,227,22,221,24,241
14,23,230,22,222,24,243
15,23,236,22,222,23,239
16,21,219,22,223,24,245
17,23,231,21,215,24,243
18,23,232,21,216,24,249
19,20,207,21,214,22,223
20,22,221,20,204,23,234
21,20,205,21,217,24,243
22,20,201,22,225,24,241
23,21,213,22,223,24,245
24,21,210,21,217,24,241
25,20,205,21,217,23,239
26,19,192,19,198,22,227
27,21,211,20,209,23,235
28,19,190,20,206,23,230
29,19,194,22,220,24,247
30,21,210,21,218,24,246
31,21,216,22,221,24,243
32,21,215,23,231,23,237
33,22,226,22,222,22,225
34,21,218,21,213,23,236
35,21,218,22,225,24,242
36,22,227,22,220,23,234
37,23,232,22,226,23,239
38,20,203,21,216,22,225
39,21,214,21,217,23,237
40,22,223,22,227,22,227
41,22,222,22,225,24,249
42,22,226,23,236,24,243
43,23,236,23,238,24,245
44,23,239,22,227,24,241
45,24,242,24,243,24,243
46,24,244,24,241,23,238
47,25,251,24,248,24,243
48,25,250,26,262,23,237
49,24,249,25,250,22,228
50,25,256,26,261,25,251
51,23,238,25,256,24,244
52,24,245,27,270,25,251
53,24,245,24,249,24,244
54,24,247,24,248,24,242
55,25,251,25,253,26,263
56,24,246,24,247,24,245
57,23,233,27,273,24,242
58,23,238,24,246,24,244
59,23,237,25,259,24,245
60,26,261,25,255,22,227
61,23,239,26,261,23,235
62,25,255,24,246,23,236
63,24,244,24,247,24,241
64,23,239,23,238,23,239
65,24,242,25,250,23,234
66,24,249,25,252,22,229
67,22,225,24,248,22,224
68,23,237,24,241,23,237
69,23,238,25,256,23,238
70,24,244,26,262,23,236
71,24,247,25,256,22,224
72,24,244,24,249,23,233
73,24,244,26,267,22,224
74,23,239,24,243,22,228
75,25,250,25,257,21,216
76,25,257,27,272,22,225
77,25,251,25,252,22,228
78,25,253,26,261,22,228
79,24,243,25,258,23,239
80,24,244,26,260,22,229
81,25,251,24,246,24,241
82,25,251,25,253,23,236
83,24,242,25,255,22,226
84,25,250,25,251,22,228
85,26,260,24,248,23,235
86,26,264,24,243,22,220
87,26,268,24,241,22,226
88,25,253,24,243,23,231
89,26,260,25,252,23,239
90,24,245,26,260,23,237
91,24,246,25,255,24,240
92,25,252,25,259,23,233
93,26,262,25,251,23,232
94,26,260,24,249,22,228
95,25,256,24,248,22,229
96,24,244,25,259,22,228
97,25,257,25,257,23,230
98,25,256,23,238,21,217
99,24,243,24,243,21,218
100,24,249,25,253,24,243
101,25,256,26,266,23,232
102,24,245,25,253,24,244
103,23,238,24,249,24,247
104,24,246,24,241,23,236
105,25,251,24,249,23,236
106,25,255,26,264,23,237
107,25,257,25,259,25,250
108,26,261,25,253,24,248
109,24,249,24,245,24,243
110,24,248,23,238,23,237
111,25,252,25,251,23,236
112,25,250,24,248,24,241
113,24,243,25,254,24,245
114,25,258,24,247,24,247
115,25,257,26,269,24,244
116,24,243,25,254,24,246
117,25,251,27,270,24,243
118,25,258,25,252,22,228
119,24,248,24,240,22,224
120,24,246,23,235,23,230
121,26,262,23,236,24,240
122,25,251,24,248,22,229
123,26,264,25,250,24,241
124,26,268,24,249,23,239
125,26,264,24,244,24,241
126,24,244,23,239,22,229
127,23,238,23,231,23,232
128,24,246,23,239,23,234
129,24,249,24,245,23,232
130,24,242,24,243,23,236
131,25,252,24,248,22,226
132,25,254,23,235,23,233
133,24,245,24,242,21,215
134,23,236,24,240,22,228
135,23,236,23,238,24,240
136,23,230,24,248,22,224
137,24,241,23,235,21,219
138,24,241,22,229,21,211
139,25,250,24,245,22,224
140,24,243,24,242,21,214
141,24,241,24,240,23,231
142,23,233,22,221,21,215
143,23,231,22,228,21,210
144,22,227,23,237,23,233
145,21,212,21,219,20,209
146,23,236,23,232,22,220
147,21,216,22,223,21,213
148,21,219,22,228,21,215
149,21,216,23,233,21,219
150,22,223,22,220,21,214
151,21,219,21,214,21,213
152,21,213,21,215,21,216
153,21,215,21,213,21,213
154,21,216,21,219,21,210
155,20,209,21,210,22,225
156,22,224,22,223,22,224
157,20,203,22,229,22,221
158,21,216,22,223,21,217
159,21,212,22,220,23,230
160,21,216,20,206,21,219
161,20,209,21,211,22,224
162,23,232,22,226,22,227
163,23,233,21,217,23,239
164,21,218,23,231,23,234
165,21,212,22,229,24,242
166,21,216,21,215,22,222
167,23,230,22,228,23,237
168,23,235,21,214,24,241
