/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: ORB
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,21,216,28,286,19,195
1,22,228,27,270,20,205
2,23,236,29,293,20,206
3,23,236,28,283,18,185
4,23,231,31,311,17,179
5,23,231,29,290,18,185
6,20,209,28,288,19,190
7,22,225,28,284,19,198
8,23,235,28,287,19,193
9,21,217,27,279,18,181
10,21,217,28,283,18,189
11,21,214,28,284,20,201
12,21,215,27,274,19,197
13,22,222,28,281,19,198
14,21,219,29,294,20,202
15,22,221,28,288,20,204
16,22,222,28,285,20,206
17,23,234,29,292,21,215
18,23,235,29,291,18,188
19,22,224,28,289,21,212
20,22,223,29,292,20,201
21,22,226,28,281,19,190
22,22,225,28,288,18,189
23,22,228,28,284,20,202
24,21,217,27,279,19,193
25,21,212,28,288,20,200
26,21,219,29,292,20,208
27,20,209,29,290,20,209
28,22,224,28,288,19,194
29,21,211,28,286,19,198
30,20,207,27,272,19,190
31,21,219,28,281,19,197
32,22,228,28,286,20,202
33,22,228,27,275,21,213
34,23,239,29,290,20,200
35,23,234,28,288,20,208
36,23,231,27,274,19,197
37,24,244,28,287,19,199
38,24,242,28,289,19,194
39,24,240,30,304,18,188
40,22,229,27,275,19,191
41,24,244,28,280,18,185
42,23,237,28,284,19,198
43,23,236,28,289,19,198
44,23,237,28,287,20,202
45,24,242,27,271,20,204
46,24,245,28,282,20,204
47,23,232,29,291,20,203
48,23,232,28,285,19,197
49,24,244,26,263,19,199
50,24,241,28,285,21,212
51,23,232,27,273,20,201
52,23,237,28,284,19,199
53,23,239,27,272,20,207
54,23,233,27,279,21,212
55,22,226,28,286,20,204
56,22,226,29,290,19,193
57,23,234,28,289,19,199
58,24,247,28,280,20,200
59,23,232,29,299,19,196
60,23,237,27,279,20,205
61,22,222,27,271,18,182
62,23,231,27,279,19,193
63,23,238,26,264,17,178
64,25,252,26,265,18,189
65,24,244,27,274,19,193
66,24,245,28,284,18,186
67,24,249,27,270,19,190
68,25,250,28,288,19,198
69,25,254,28,288,20,204
70,24,243,29,290,20,208
71,26,262,28,281,20,202
72,24,240,31,310,19,192
73,22,226,30,301,19,191
74,23,235,31,314,19,197
75,23,236,32,325,21,217
76,23,231,30,308,20,203
77,23,235,31,312,20,209
78,23,237,30,304,19,193
79,24,245,30,304,18,182
80,22,229,31,313,18,187
81,24,243,29,290,19,199
82,24,248,31,313,20,202
83,23,237,31,310,19,191
84,23,239,31,310,17,178
85,25,252,32,320,19,194
86,23,238,31,317,20,205
87,23,233,31,310,19,197
88,24,243,31,317,18,189
89,22,228,30,305,19,198
90,24,244,30,304,20,200
91,24,243,32,325,19,191
92,22,227,31,310,17,179
93,21,219,31,314,17,176
94,21,219,31,316,18,184
