/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SIFT
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,151,1326,116,1403,22,2316
1,134,1347,101,1415,20,2351
2,142,1339,114,1370,16,2231
3,130,1193,116,1326,18,2422
4,154,1278,111,1367,24,2331
5,136,1302,122,1370,20,2455
6,143,1248,119,1326,13,2203
7,150,1318,119,1268,25,2508
8,129,1332,104,1273,23,2380
9,139,1331,109,1263,27,2531
10,153,1289,108,1148,19,2367
11,129,1302,105,1192,18,2445
12,149,1276,119,1177,28,2520
13,135,1256,101,1130,27,2381
14,151,1215,122,1142,24,2631
15,132,1174,110,1108,23,2527
16,154,1177,115,1080,24,2660
17,130,1197,90,1035,18,2620
18,128,1184,86,1122,28,2600
19,117,1126,100,1089,24,2690
20,130,1109,96,1122,28,2609
21,120,1004,81,1083,21,2615
22,127,1076,97,1094,31,2781
23,138,1068,114,1083,28,2821
24,151,1052,86,1096,22,2783
25,126,1040,90,1110,25,2828
26,137,1063,96,1074,34,3016
27,135,1061,96,1044,28,2982
28,138,1088,89,1040,30,3206
29,124,1087,103,1073,36,3186
30,150,1105,101,1053,27,3268
31,144,1082,95,1026,26,3037
32,126,1054,91,1091,35,3255
33,129,1034,99,1047,40,3312
34,129,1090,100,1015,39,3207
35,119,1083,80,1024,47,3182
36,111,1076,85,1069,39,3221
37,125,1065,96,1082,36,3184
38,134,1078,95,1088,35,3128
39,120,1053,91,1070,30,3125
40,124,1055,87,1039,25,3162
41,104,1053,85,1054,35,3209
42,114,1067,83,1021,30,3220
43,103,1012,91,1003,30,3232
44,123,1041,103,1097,28,3217
45,138,1032,115,1114,38,3290
46,126,1060,97,1075,27,3242
47,112,1043,92,1088,33,3204
48,117,1062,93,1174,39,3193
49,107,1072,91,1135,31,3125
50,120,1100,100,1149,33,3040
51,127,1119,100,1170,31,2963
52,135,1163,109,1204,45,3102
53,107,1056,118,1239,38,2941
54,125,1139,119,1230,45,3112
55,123,1057,106,1212,40,3011
56,112,1102,118,1226,42,3041
57,108,1071,105,1297,32,3124
58,118,1166,112,1220,25,3091
59,94,1085,90,1271,21,2936
60,105,1147,84,1262,25,3061
61,84,1107,75,1288,25,3173
62,89,1040,72,1152,29,3238
63,104,1097,83,1141,32,3163
64,121,1141,92,1222,30,3164
65,118,1126,85,1205,27,3103
66,90,1113,96,1145,33,3071
67,104,1134,75,1151,19,3103
68,103,1114,105,1115,18,2970
69,86,1011,83,1191,20,3110
70,86,1081,79,1165,21,3013
71,93,1033,72,1126,32,2975
72,95,990,58,1147,19,2889
73,75,977,66,1194,15,2960
74,69,940,66,1083,17,3002
75,84,968,63,1150,24,2983
76,66,903,70,1101,30,2933
77,64,927,53,1104,30,3121
78,69,903,51,978,24,3107
79,69,850,60,1034,25,3068
80,72,916,70,1001,31,3198
81,70,912,67,971,28,3120
82,53,897,73,994,26,3150
83,64,911,70,977,28,3049
84,64,885,85,953,26,3064
85,69,879,63,1001,33,3121
86,62,899,64,960,27,3079
87,59,831,58,1030,20,3078
88,70,877,60,991,24,3180
89,75,850,79,1044,26,3290
90,69,921,68,1028,20,3180
91,93,876,99,1021,30,3039
92,72,947,72,1023,34,3209
93,66,889,73,1034,24,3199
94,82,943,94,1008,37,3252
95,70,949,72,1011,23,3253
96,84,916,86,1011,26,3230
97,79,925,70,1014,25,3248
98,75,951,61,958,25,3135
99,80,938,70,1017,28,3207
100,76,953,64,1006,29,3089
101,70,942,81,1046,31,3078
102,86,990,68,1015,37,3061
103,76,951,73,1060,30,2967
104,85,1026,80,1059,23,2981
105,118,1035,77,1033,22,2960
106,91,977,73,1075,24,3018
107,94,1044,75,1016,26,2984
108,94,1093,66,1018,26,3037
109,103,1066,70,1047,33,3007
110,98,984,82,997,26,2865
111,89,997,76,1025,17,2985
112,85,1052,66,955,21,3159
113,81,981,67,967,20,3055
114,86,1051,65,925,20,3120
115,67,960,72,1013,21,2884
116,73,1028,76,1008,25,3003
117,68,955,84,1043,24,3075
118,86,997,94,1058,19,2876
119,84,1010,59,1108,16,2931
120,74,1044,68,1036,12,3018
121,61,1023,48,1043,23,2988
122,77,1044,57,1066,24,2924
123,76,1046,56,1035,19,2774
124,67,1051,56,1060,21,2886
125,72,1067,65,1054,17,2874
126,71,1025,64,1066,13,2808
127,71,971,62,1020,25,2770
128,67,978,58,1071,16,2776
129,55,1012,59,1055,24,2839
130,67,1046,68,1057,25,2900
131,65,979,53,1103,27,2804
132,76,1041,57,1093,36,2746
133,72,983,55,1119,22,2814
134,64,1022,60,1098,37,2754
135,98,953,65,1129,36,2720
136,60,1018,59,1097,30,2835
137,61,988,44,1155,25,2775
138,76,1058,54,1167,26,2758
139,64,965,44,1156,24,2776
140,55,1034,54,1134,31,2712
141,64,1018,45,1129,23,2685
142,65,1035,44,1090,27,2696
143,58,968,38,1103,30,2743
144,58,1012,49,1142,33,2801
145,49,987,55,1116,32,2673
146,59,1014,47,1127,23,2627
147,45,986,44,1060,29,2814
148,65,1020,38,1105,37,2764
149,54,1032,37,1196,27,2867
