/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,118,906,117,1045,25,1545
1,126,918,117,1058,31,1579
2,135,916,115,982,26,1558
3,125,857,110,944,28,1610
4,135,939,104,935,37,1577
5,127,927,111,957,35,1625
6,125,883,113,940,25,1523
7,143,923,88,866,24,1589
8,119,944,114,866,18,1572
9,139,912,97,847,28,1561
10,138,960,105,821,30,1517
11,134,948,108,818,22,1632
12,122,924,102,843,31,1633
13,136,930,115,836,18,1558
14,140,923,115,816,25,1587
15,128,911,104,819,28,1540
16,125,915,108,837,23,1599
17,110,878,82,797,19,1604
18,115,863,76,833,22,1620
19,124,844,82,797,16,1643
20,120,813,96,813,31,1609
21,120,798,92,784,21,1685
22,117,817,95,796,27,1707
23,125,826,87,759,30,1682
24,120,821,93,815,25,1689
25,107,815,93,824,28,1777
26,114,847,83,821,28,1859
27,108,843,82,806,34,1801
28,104,838,100,807,33,1849
29,136,863,89,774,25,1910
30,115,859,78,775,30,1891
31,110,846,88,768,21,1764
32,119,796,98,774,22,1885
33,114,839,91,767,28,1924
34,127,847,91,789,26,1916
35,123,827,86,805,33,1912
36,125,849,67,810,30,1970
37,107,838,79,838,35,1971
38,106,851,83,798,31,1932
39,117,816,84,784,30,1982
40,120,826,88,795,35,2034
41,111,790,94,791,24,2038
42,102,800,86,795,30,2017
43,100,748,74,752,30,2066
44,96,800,83,804,28,2083
45,105,764,78,780,30,2052
46,89,777,72,742,33,2017
47,120,789,71,756,33,1961
48,122,767,73,756,29,1946
49,112,798,72,745,27,1959
50,121,767,86,772,29,1901
51,97,791,69,822,21,1907
52,94,791,95,786,28,1876
53,92,733,75,813,25,1795
54,114,791,87,829,23,1842
55,84,746,82,825,30,1868
56,97,764,76,858,20,1891
57,97,722,79,859,28,1837
58,91,794,101,847,20,1824
59,93,753,82,867,24,1774
60,91,783,88,854,25,1810
61,90,757,77,870,22,1896
62,99,750,85,870,26,1927
63,85,766,90,858,21,1912
64,102,778,88,877,20,1868
65,104,774,88,887,19,1894
66,98,759,74,859,15,1869
67,97,758,73,858,16,1864
68,96,757,98,880,26,1751
69,97,731,88,860,19,1778
70,81,740,79,850,31,1715
71,79,744,80,872,20,1729
72,81,728,69,866,17,1713
73,65,711,66,848,26,1793
74,77,662,77,788,23,1827
75,61,646,54,768,23,1806
76,73,615,73,751,28,1837
77,63,628,64,754,36,1939
78,74,650,81,717,28,1923
79,67,639,60,712,28,1938
80,66,619,72,700,26,1923
81,70,598,57,692,28,1876
82,59,611,87,684,37,1929
83,54,577,67,641,29,1922
84,54,577,75,649,34,1921
85,61,533,80,654,30,1952
86,50,550,73,646,22,1963
87,52,532,60,647,45,1921
88,67,566,86,656,40,2010
89,51,533,56,686,27,2048
90,53,548,59,673,28,1917
91,48,557,56,648,27,1883
92,56,585,54,644,22,1963
93,63,561,79,634,28,1917
94,56,569,64,628,32,1898
95,60,562,60,622,26,1925
96,77,584,70,609,27,1915
97,64,578,66,640,18,1912
98,57,600,55,610,31,1870
99,79,576,46,646,25,1913
100,64,605,53,636,25,1878
101,79,565,58,677,26,1789
102,67,569,78,679,31,1803
103,68,568,72,681,24,1716
104,73,577,63,650,24,1760
105,66,576,58,638,32,1755
106,73,529,64,613,23,1758
107,64,562,66,613,26,1719
108,57,548,64,612,31,1766
109,63,558,76,621,20,1753
110,55,519,62,632,20,1759
111,52,519,61,610,20,1753
112,51,530,54,598,26,1782
113,44,511,58,615,15,1723
114,61,531,63,624,21,1761
115,48,488,63,613,18,1694
116,48,530,71,626,28,1764
117,43,506,64,630,23,1707
118,42,511,63,620,24,1670
119,54,535,47,630,19,1669
120,48,559,58,641,16,1664
121,53,538,40,631,23,1597
122,55,519,69,667,15,1622
123,56,552,68,684,13,1578
124,53,563,46,642,15,1648
125,54,550,42,649,15,1644
126,50,546,48,672,17,1575
127,56,520,50,677,17,1603
128,54,545,59,694,14,1589
129,57,576,89,691,19,1654
130,52,578,63,671,21,1623
131,37,541,48,705,22,1610
132,45,577,40,715,23,1592
133,45,546,47,722,23,1585
134,46,549,44,710,26,1515
135,48,521,42,723,25,1543
136,49,558,47,720,26,1586
137,47,534,41,734,24,1552
138,50,579,41,732,13,1579
139,50,573,47,676,26,1556
140,51,592,51,678,26,1553
141,49,570,44,662,25,1504
142,53,570,31,689,19,1537
143,50,551,36,697,20,1618
144,54,558,35,694,24,1606
145,42,557,51,700,17,1548
146,48,574,34,708,16,1544
147,37,568,40,703,17,1594
148,49,565,30,684,15,1607
149,33,573,37,728,20,1659
150,44,534,37,708,18,1652
151,49,576,39,713,19,1679
152,43,600,42,694,19,1631
153,47,575,47,680,26,1666
154,45,619,44,709,20,1631
155,48,619,39,738,26,1573
156,40,600,31,716,22,1618
157,49,628,41,725,23,1599
158,47,644,37,703,13,1639
159,48,642,35,702,28,1641
160,43,618,39,709,26,1603
161,45,656,43,706,24,1672
162,44,626,44,731,22,1710
163,53,652,49,746,11,1739
164,43,656,47,757,30,1774
165,57,670,50,753,27,1788
166,44,694,44,729,20,1713
167,54,662,48,752,24,1817
168,57,672,53,781,23,1855
169,51,697,51,752,17,1811
170,52,701,41,751,23,1780
171,63,708,51,768,19,1853
172,59,675,52,779,27,1813
173,67,704,49,818,32,1779
174,59,702,50,763,25,1784
175,60,720,43,798,25,1755
176,43,747,36,807,23,1822
177,54,727,31,843,21,1861
178,61,747,43,855,25,1762
179,57,762,32,857,14,1849
180,41,716,42,906,13,1804
181,56,755,30,885,16,1814
182,60,701,34,878,23,1798
183,48,717,36,895,24,1783
184,50,681,43,873,24,1696
185,48,706,32,859,28,1761
186,48,646,37,853,15,1723
187,54,681,32,888,23,1764
188,43,630,44,873,19,1766
189,39,632,33,881,31,1780
190,37,624,31,884,23,1820
191,46,655,28,844,24,1905
192,36,619,23,835,23,1835
193,34,620,22,835,30,1829
194,36,589,28,839,22,1787
195,51,601,21,816,23,1703
196,30,552,20,791,24,1730
197,33,566,21,825,22,1727
198,32,546,33,860,22,1689
199,37,572,20,854,19,1705
200,44,559,25,860,24,1689
201,37,553,14,833,26,1717
202,29,509,30,836,20,1656
203,38,559,19,818,26,1707
204,43,552,17,826,19,1739
205,41,562,20,837,22,1725
206,32,543,18,857,22,1770
207,35,567,30,836,18,1796
208,35,538,21,808,31,1859
209,34,556,21,824,29,1795
210,36,576,39,804,24,1908
211,34,572,30,761,23,1860
212,26,552,26,783,16,1887
213,37,582,34,796,25,1845
214,26,555,21,837,18,2011
215,22,540,20,810,40,1980
216,28,548,27,825,24,1920
217,36,545,24,815,35,1957
218,44,542,30,802,34,1986
219,22,525,19,778,25,1870
220,45,536,19,811,25,1947
221,39,551,21,789,23,1966
222,49,551,20,807,23,1894
223,41,560,32,829,26,1906
224,35,598,19,869,22,1892
225,34,596,23,832,30,1949
226,46,622,27,823,21,2009
227,36,588,21,849,19,1987
228,45,590,24,847,21,2055
229,47,595,18,838,32,2061
230,45,592,24,851,29,2074
231,50,556,26,874,24,2053
232,41,567,29,911,18,2021
233,30,566,27,963,27,2000
234,34,551,21,955,21,1839
235,39,539,31,941,25,1888
236,36,517,36,970,16,1789
237,30,546,31,985,24,1841
238,38,496,29,1020,23,1927
239,32,520,16,969,21,1837
240,30,520,28,951,17,1858
241,39,535,37,957,26,1882
242,43,518,27,962,27,1864
243,50,547,38,982,26,1879
244,51,542,32,970,26,1902
245,48,536,34,945,24,1849
246,43,540,26,972,27,1819
247,38,523,25,918,26,1897
248,49,567,25,921,22,1875
249,41,569,24,928,16,1905
250,41,602,31,919,23,1798
251,56,609,31,934,25,1915
252,51,598,30,880,29,1933
253,52,601,14,906,28,1862
254,52,605,33,910,27,1984
255,39,599,27,951,26,2003
256,49,566,22,961,18,2051
257,57,600,25,973,26,2051
258,39,586,28,1085,25,2102
259,35,552,25,1043,32,2114
260,42,560,28,1057,26,2118
261,52,587,32,1045,25,2126
262,57,613,37,1074,28,2100
263,52,602,30,1104,31,2113
264,52,572,33,1124,50,2053
265,40,559,28,1130,26,2075
266,54,535,46,1078,30,2013
267,52,529,55,1047,28,2024
268,52,556,24,1068,31,2083
269,52,557,31,1074,24,1988
270,53,548,25,1076,39,2053
271,48,555,44,1109,35,2014
272,43,580,32,1100,27,1993
273,53,551,39,1115,32,2004
274,61,538,41,1105,29,1988
275,57,526,43,1119,31,1983
276,54,542,35,1126,28,1980
277,57,545,56,1139,27,2037
278,48,514,29,1159,29,2033
279,50,542,30,1163,35,2070
280,51,532,32,1111,34,2071
281,65,550,36,1118,33,2068
282,56,557,23,1124,30,2064
283,62,543,30,1166,36,1971
284,61,566,32,1176,45,1990
285,73,555,21,1149,30,1962
286,63,580,33,1146,25,2111
287,71,544,35,1135,29,2088
288,58,590,34,1141,26,2161
289,56,565,33,1106,27,2073
290,64,608,21,1134,26,2150
291,73,602,30,1124,38,2274
292,57,615,34,1132,28,2170
