/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,133,1264,235,1045,27,1545
1,168,1291,240,1058,24,1579
2,132,1217,245,982,29,1558
3,135,1219,229,944,36,1610
4,149,1212,238,935,25,1577
5,143,1195,236,957,30,1625
6,151,1231,231,940,32,1523
7,146,1201,222,866,32,1589
8,130,1270,202,866,28,1572
9,144,1235,213,847,36,1561
10,157,1282,238,821,35,1517
11,139,1302,234,818,25,1632
12,167,1258,242,843,36,1633
13,155,1208,239,836,31,1558
14,133,1214,234,816,21,1587
15,137,1212,212,819,17,1540
16,144,1255,223,837,22,1599
17,140,1237,211,797,20,1604
18,155,1252,206,833,27,1620
19,110,1158,206,797,19,1643
20,129,1239,231,813,18,1609
21,131,1196,223,784,17,1685
22,135,1311,211,796,23,1707
23,132,1308,194,759,24,1682
24,141,1331,232,815,23,1689
25,160,1357,205,824,28,1777
26,134,1389,201,821,37,1859
27,150,1363,181,806,29,1801
28,160,1361,186,807,40,1849
29,116,1386,208,774,38,1910
30,160,1397,211,775,23,1891
31,166,1400,219,768,24,1764
32,144,1351,200,774,39,1885
33,129,1385,195,767,31,1924
34,138,1325,188,789,31,1916
35,145,1440,213,805,31,1912
36,156,1453,213,810,30,1970
37,158,1390,211,838,32,1971
38,164,1434,185,798,27,1932
39,151,1394,196,784,29,1982
40,116,1379,180,795,42,2034
41,103,1345,193,791,35,2038
42,138,1355,208,795,28,2017
43,116,1312,187,752,27,2066
44,100,1266,189,804,22,2083
45,124,1274,195,780,26,2052
46,102,1331,155,742,33,2017
47,136,1285,170,756,32,1961
48,134,1299,170,756,20,1946
49,126,1298,188,745,35,1959
50,136,1372,185,772,24,1901
51,152,1318,209,822,28,1907
52,138,1319,213,786,27,1876
53,114,1173,221,813,40,1795
54,145,1189,195,829,22,1842
55,124,1186,189,825,25,1868
56,161,1211,185,858,29,1891
57,122,1197,197,859,33,1837
58,146,1180,197,847,28,1824
59,122,1114,200,867,31,1774
60,142,1184,192,854,25,1810
61,135,1176,181,870,25,1896
62,105,1057,184,870,34,1927
63,139,1057,177,858,42,1912
64,124,1061,198,877,24,1868
65,122,1014,183,887,31,1894
66,128,1086,186,859,32,1869
67,137,1081,176,858,31,1864
68,150,1029,184,880,21,1751
69,133,1082,191,860,35,1778
70,131,1140,188,850,43,1715
71,103,1075,183,872,36,1729
72,113,1081,196,866,34,1713
73,94,993,168,848,31,1793
74,87,1009,169,788,40,1827
75,86,965,164,768,31,1806
76,92,962,171,751,36,1837
77,78,1005,157,754,35,1939
78,128,1037,186,717,24,1923
79,92,998,184,712,42,1938
80,85,997,159,700,31,1923
81,90,976,140,692,35,1876
82,64,982,137,684,32,1929
83,83,1001,156,641,34,1922
84,87,1043,144,649,32,1921
85,88,1005,132,654,29,1952
86,71,1061,141,646,33,1963
87,84,1009,147,647,37,1921
88,74,1044,132,656,40,2010
89,79,1005,149,686,39,2048
90,68,1029,150,673,39,1917
91,92,1045,149,648,30,1883
92,78,1123,163,644,44,1963
93,82,1068,160,634,39,1917
94,81,1048,155,628,37,1898
95,81,1052,163,622,36,1925
96,107,1075,160,609,33,1915
97,103,1101,169,640,30,1912
98,93,1152,161,610,36,1870
99,95,1086,172,646,32,1913
100,91,1142,163,636,30,1878
101,121,1109,170,677,30,1789
102,116,1136,184,679,31,1803
103,81,1090,166,681,33,1716
104,97,1106,169,650,34,1760
105,106,1074,177,638,32,1755
106,82,1114,162,613,30,1758
107,89,1079,167,613,34,1719
108,93,1088,178,612,29,1766
109,82,1136,162,621,31,1753
110,62,1090,180,632,36,1759
111,81,1113,154,610,36,1753
112,73,1070,160,598,34,1782
113,82,1045,151,615,43,1723
114,89,1087,168,624,34,1761
115,80,1059,148,613,30,1694
116,68,1059,143,626,33,1764
117,85,1062,147,630,26,1707
118,91,1106,155,620,23,1670
119,98,1112,141,630,22,1669
120,79,1110,154,641,32,1664
121,84,1063,140,631,28,1597
122,74,1098,158,667,20,1622
123,55,1084,140,684,21,1578
124,94,1147,132,642,20,1648
125,70,1088,132,649,21,1644
126,72,1081,141,672,20,1575
127,86,1035,145,677,21,1603
128,85,1094,155,694,17,1589
129,96,1099,152,691,23,1654
130,75,1120,169,671,14,1623
131,77,1048,162,705,20,1610
132,64,1060,152,715,26,1592
133,55,1052,151,722,19,1585
134,67,1122,168,710,22,1515
135,75,1112,152,723,17,1543
136,96,1158,152,720,17,1586
137,106,1137,173,734,20,1552
138,66,1056,153,732,30,1579
139,58,1088,130,676,28,1556
140,79,1106,134,678,31,1553
141,83,1117,131,662,18,1504
142,68,1169,133,689,29,1537
143,83,1133,164,697,22,1618
144,64,1096,142,694,28,1606
145,65,1093,129,700,24,1548
146,88,1142,143,708,27,1544
147,61,1098,136,703,24,1594
148,70,1199,121,684,19,1607
149,59,1203,139,728,24,1659
150,79,1169,128,708,28,1652
151,58,1155,129,713,19,1679
152,70,1253,157,694,14,1631
153,94,1233,141,680,19,1666
154,73,1193,152,709,17,1631
155,62,1172,164,738,35,1573
156,76,1217,167,716,29,1618
157,68,1199,161,725,26,1599
158,66,1216,167,703,18,1639
159,58,1187,161,702,30,1641
160,47,1177,156,709,20,1603
161,63,1185,190,706,25,1672
162,69,1241,171,731,26,1710
163,76,1201,178,746,20,1739
164,50,1205,171,757,26,1774
165,62,1237,165,753,20,1788
166,101,1288,173,729,29,1713
167,83,1245,178,752,36,1817
168,75,1229,165,781,28,1855
169,73,1245,165,752,29,1811
170,68,1235,183,751,25,1780
171,75,1194,146,768,22,1853
172,68,1237,156,779,35,1813
173,83,1148,183,818,24,1779
174,69,1237,155,763,23,1784
175,86,1238,171,798,27,1755
176,85,1270,159,807,24,1822
177,72,1264,148,843,23,1861
178,82,1287,146,855,28,1762
179,69,1247,130,857,22,1849
180,60,1295,150,906,26,1804
181,71,1278,144,885,20,1814
182,87,1300,141,878,20,1798
183,63,1224,116,895,16,1783
184,61,1242,123,873,18,1696
185,64,1259,124,859,17,1761
186,82,1291,104,853,16,1723
187,95,1162,129,888,22,1764
188,70,1212,113,873,22,1766
189,59,1164,95,881,17,1780
190,69,1222,109,884,17,1820
191,64,1179,96,844,16,1905
192,62,1211,77,835,20,1835
193,71,1165,90,835,22,1829
194,55,1113,91,839,21,1787
195,58,1176,97,816,17,1703
196,52,1167,76,791,17,1730
197,40,1110,87,825,10,1727
198,74,1108,90,860,13,1689
199,79,1172,91,854,13,1705
200,77,1151,112,860,21,1689
201,62,1207,96,833,35,1717
202,80,1201,100,836,24,1656
203,66,1179,108,818,15,1707
204,88,1255,101,826,19,1739
205,73,1306,117,837,21,1725
206,74,1268,93,857,21,1770
207,83,1263,95,836,16,1796
208,74,1207,107,808,25,1859
209,81,1291,81,824,22,1795
210,44,1228,56,804,16,1908
211,67,1309,84,761,31,1860
212,58,1332,68,783,24,1887
213,68,1262,74,796,18,1845
214,56,1233,77,837,24,2011
215,81,1270,91,810,15,1980
216,81,1290,79,825,16,1920
217,112,1290,89,815,19,1957
218,100,1258,78,802,15,1986
219,102,1262,84,778,22,1870
220,77,1276,79,811,13,1947
221,66,1231,82,789,14,1966
222,85,1266,78,807,20,1894
223,79,1292,67,829,20,1906
224,68,1262,73,869,19,1892
225,77,1376,68,832,16,1949
226,65,1262,77,823,12,2009
227,76,1388,60,849,14,1987
228,74,1351,54,847,15,2055
229,70,1370,78,838,25,2061
230,86,1422,67,851,17,2074
231,69,1289,64,874,20,2053
232,95,1336,61,911,10,2021
233,91,1407,79,963,21,2000
234,75,1404,70,955,19,1839
235,76,1387,68,941,17,1888
236,111,1268,90,970,29,1789
237,103,1287,83,985,23,1841
238,77,1266,76,1020,32,1927
239,83,1312,80,969,24,1837
240,52,1142,74,951,11,1858
241,90,1228,80,957,15,1882
242,53,1191,70,962,20,1864
243,69,1265,63,982,16,1879
244,76,1195,65,970,21,1902
245,82,1139,81,945,21,1849
246,93,1163,87,972,23,1819
247,85,1207,81,918,26,1897
248,73,1151,91,921,20,1875
249,78,1188,81,928,24,1905
250,78,1123,73,919,21,1798
251,91,1137,74,934,22,1915
252,88,1071,84,880,22,1933
253,73,1080,84,906,12,1862
254,60,1132,89,910,19,1984
255,61,1056,84,951,16,2003
256,64,1044,92,961,40,2051
257,76,1005,88,973,24,2051
258,67,1029,107,1085,15,2102
259,76,1054,82,1043,26,2114
260,76,1033,95,1057,25,2118
261,85,1116,79,1045,16,2126
262,96,1162,87,1074,23,2100
263,68,1116,79,1104,21,2113
264,69,1119,77,1124,21,2053
265,74,1122,89,1130,30,2075
266,74,1070,96,1078,31,2013
267,89,1211,76,1047,34,2024
268,71,1243,87,1068,23,2083
269,89,1242,77,1074,36,1988
270,68,1113,76,1076,28,2053
271,77,1167,69,1109,30,2014
272,82,1238,76,1100,24,1993
273,103,1272,80,1115,27,2004
274,88,1200,87,1105,23,1988
275,87,1151,90,1119,27,1983
276,79,1197,79,1126,22,1980
277,104,1219,70,1139,20,2037
278,101,1264,78,1159,24,2033
279,84,1258,75,1163,37,2070
280,82,1260,84,1111,27,2071
281,69,1235,97,1118,32,2068
282,83,1257,87,1124,31,2064
283,89,1285,93,1166,24,1971
284,72,1291,86,1176,39,1990
285,84,1313,90,1149,30,1962
286,78,1369,86,1146,37,2111
287,89,1272,86,1135,31,2088
288,91,1334,76,1141,35,2161
289,96,1244,92,1106,24,2073
290,91,1360,84,1134,26,2150
291,88,1327,102,1124,26,2274
292,83,1354,120,1132,21,2170
293,93,1329,114,1121,31,2126
294,93,1395,124,1088,24,2097
295,81,1268,108,1096,20,2121
296,111,1324,102,1126,35,2113
297,92,1269,122,1111,34,2008
298,101,1344,100,1148,30,1934
299,85,1303,95,1123,43,1883
300,88,1284,110,1097,39,1894
301,72,1279,102,1118,22,1807
302,65,1240,89,1127,47,1745
303,82,1232,91,1111,29,1730
304,88,1146,101,1120,42,1684
305,87,1158,82,1110,31,1725
306,75,1161,74,1120,27,1697
307,93,1195,80,1133,25,1624
308,68,1151,78,1118,29,1586
309,87,1138,74,1139,25,1612
310,65,1137,82,1094,25,1585
311,69,1176,71,1143,28,1732
312,61,1176,104,1130,39,1695
313,65,1144,92,1109,30,1715
314,93,1151,99,1103,31,1666
315,61,1142,90,1063,30,1674
316,68,1142,100,1093,26,1705
317,64,1138,118,1095,36,1679
318,57,1158,113,1094,23,1707
319,72,1175,111,1076,25,1661
320,58,1204,108,1057,39,1657
321,71,1259,115,1034,40,1656
322,73,1248,99,1008,47,1559
323,80,1278,98,1030,40,1684
324,77,1230,107,1041,42,1696
325,61,1265,117,1026,29,1632
326,64,1229,114,1099,24,1648
327,64,1211,140,999,29,1674
328,70,1232,125,991,32,1676
329,70,1238,128,977,26,1686
330,78,1304,142,1005,21,1753
331,72,1315,145,1002,20,1735
332,99,1391,130,1029,30,1687
333,77,1303,145,1001,34,1645
334,81,1364,155,945,32,1664
335,71,1284,139,993,32,1659
336,67,1267,120,987,38,1661
337,76,1331,135,965,35,1716
338,63,1345,147,1010,35,1739
339,77,1257,146,989,31,1780
340,73,1328,150,1040,26,1758
341,63,1270,160,1024,34,1765
342,48,1297,148,1051,29,1816
343,58,1325,183,1138,41,1836
344,63,1340,160,1116,28,1813
345,60,1306,133,1100,34,1803
346,64,1339,128,1107,30,1812
347,63,1349,149,1120,32,1820
348,60,1395,164,1099,22,1808
349,69,1343,157,1052,27,1803
350,63,1396,142,1101,27,1897
351,56,1416,144,1069,32,1912
352,59,1412,152,1081,33,1904
353,51,1354,153,1087,31,1939
354,69,1402,148,1060,28,1924
355,47,1381,150,1131,40,1924
356,67,1422,161,1119,26,1822
357,64,1368,161,1163,30,1884
358,62,1341,172,1168,43,1909
359,64,1350,188,1201,35,1953
360,72,1402,170,1181,40,1896
361,74,1384,195,1250,36,1861
362,75,1391,186,1227,45,1882
363,77,1449,170,1289,43,1892
364,72,1414,189,1271,40,1817
365,82,1440,190,1244,35,1872
366,70,1319,224,1210,43,1894
367,85,1392,174,1129,45,1834
368,83,1375,172,1055,47,1815
369,88,1442,171,1012,50,1879
370,91,1434,158,976,44,1857
371,81,1400,174,988,46,1841
372,73,1395,165,929,44,1875
373,71,1409,188,968,48,1863
374,84,1421,187,941,54,1909
375,101,1391,190,950,60,1978
376,89,1440,195,959,48,1904
377,59,1429,179,927,53,1955
378,90,1476,187,992,52,1926
379,104,1470,215,977,49,1881
380,81,1498,183,1017,45,1824
381,84,1510,202,1021,52,1805
382,107,1493,197,1006,62,1848
383,83,1520,195,990,58,1789
384,66,1512,188,1032,57,1860
385,87,1548,190,1047,65,1837
386,72,1480,206,1052,57,1872
387,75,1558,213,1017,55,1817
388,89,1510,224,1066,36,1892
389,74,1533,225,1092,51,1858
390,73,1523,212,1084,50,1913
391,77,1479,221,1066,68,1881
392,76,1509,197,1065,42,1932
393,76,1528,213,1070,39,1913
394,62,1481,215,1111,43,1834
395,73,1580,215,1139,48,1807
396,65,1589,199,1156,36,1851
397,88,1537,198,1191,42,1838
398,81,1562,211,1171,34,1920
399,96,1548,189,1182,34,1865
400,86,1583,189,1201,36,1884
401,62,1522,182,1177,41,1911
402,67,1605,174,1267,47,1941
403,75,1479,176,1247,42,1780
404,74,1488,185,1232,25,1838
405,42,1476,187,1234,19,1721
406,61,1493,206,1220,30,1772
407,49,1474,192,1178,29,1692
408,72,1501,167,1133,51,1742
409,62,1473,178,1120,35,1720
410,54,1510,184,1128,31,1777
411,66,1531,173,1082,45,1812
412,69,1510,177,1051,32,1727
413,75,1473,178,1085,34,1759
414,59,1457,191,1094,39,1822
415,71,1509,191,1108,35,1869
416,53,1428,179,1136,38,1808
417,62,1479,181,1132,29,1785
418,71,1465,219,1138,49,1839
419,69,1428,204,1093,43,1836
420,80,1479,190,1082,36,1883
421,90,1451,211,1124,42,1913
422,74,1509,205,1088,31,1809
423,71,1509,218,1125,39,1802
424,91,1540,211,1154,36,1789
425,94,1486,217,1197,41,1773
426,86,1486,221,1235,31,1824
427,89,1533,209,1234,37,1860
428,88,1504,201,1203,46,1806
429,98,1551,197,1222,41,1802
430,75,1435,186,1255,43,1824
431,85,1497,183,1286,48,1698
432,57,1415,172,1234,36,1629
433,79,1527,210,1254,51,1729
434,85,1461,208,1228,64,1728
435,92,1470,212,1211,35,1683
436,94,1413,190,1193,42,1606
437,81,1396,181,1176,41,1706
438,75,1405,190,1144,44,1739
439,82,1432,179,1160,35,1720
440,103,1407,202,1165,41,1745
441,96,1414,187,1191,39,1752
442,87,1386,222,1185,39,1668
443,106,1437,222,1234,54,1665
444,96,1371,194,1180,44,1668
445,91,1414,213,1186,57,1698
446,77,1463,196,1184,42,1709
447,100,1420,206,1164,46,1753
448,103,1420,226,1201,43,1800
449,83,1336,231,1209,43,1758
450,80,1422,193,1231,46,1764
451,75,1419,214,1239,40,1818
452,103,1442,210,1228,47,1839
453,76,1393,216,1258,34,1809
454,87,1461,195,1221,33,1794
455,89,1439,222,1229,37,1726
456,91,1498,213,1196,37,1703
457,94,1391,216,1176,31,1704
458,94,1453,209,1120,28,1697
459,105,1369,204,1110,41,1636
460,107,1324,234,1136,38,1608
461,111,1377,230,1228,40,1632
462,96,1303,234,1312,56,1617
463,103,1324,252,1283,34,1596
464,116,1358,225,1239,54,1561
465,89,1431,229,1234,23,1581
466,89,1318,234,1273,46,1534
467,83,1347,243,1287,48,1515
468,84,1333,206,1276,47,1554
469,86,1321,234,1351,46,1550
470,90,1391,211,1320,25,1495
471,82,1372,223,1398,43,1498
472,93,1378,235,1346,33,1555
473,90,1367,214,1355,45,1580
474,99,1404,205,1340,24,1668
475,101,1442,218,1318,33,1626
476,82,1394,221,1284,36,1629
477,115,1400,221,1282,36,1587
478,109,1469,208,1259,34,1631
479,106,1407,226,1260,30,1612
480,127,1420,196,1235,30,1628
481,101,1347,175,1270,22,1667
482,111,1413,190,1270,17,1673
483,92,1366,178,1275,28,1558
484,101,1424,147,1253,17,1636
485,114,1354,179,1262,23,1669
486,127,1414,166,1266,33,1683
487,102,1385,152,1276,19,1636
488,118,1478,149,1294,24,1654
489,114,1434,182,1301,13,1656
490,91,1282,160,1271,18,1636
491,109,1287,160,1293,28,1695
492,91,1233,149,1284,13,1571
493,88,1234,141,1198,20,1585
494,81,1283,128,1178,24,1704
495,86,1260,136,1123,20,1703
496,76,1235,105,1042,21,1651
497,72,1265,116,1027,23,1690
498,86,1329,90,964,17,1699
499,82,1242,100,983,26,1692
500,81,1282,103,964,21,1733
501,113,1312,124,948,26,1711
502,97,1401,125,936,36,1687
503,86,1304,124,948,29,1682
504,116,1339,134,921,25,1747
505,102,1336,111,913,27,1747
506,117,1289,127,913,40,1693
507,92,1349,122,924,39,1756
508,100,1326,146,897,46,1730
509,109,1341,123,886,38,1737
510,106,1289,113,842,50,1747
511,97,1307,120,850,53,1764
512,100,1305,130,881,52,1679
513,128,1310,141,878,42,1674
514,129,1278,138,877,39,1617
515,98,1166,102,893,31,1518
516,107,1060,89,862,23,1533
517,103,1073,82,845,30,1487
518,84,1113,102,854,28,1403
519,80,1045,101,806,40,1545
520,63,984,81,743,37,1562
521,110,1058,102,775,35,1488
522,66,1081,90,752,24,1522
523,73,1075,97,753,24,1480
524,86,1033,88,755,69,1436
525,64,1033,109,765,72,1458
526,75,1101,92,745,45,1445
527,59,1078,102,762,54,1445
528,81,1120,101,749,33,1337
529,89,1078,117,729,47,1405
530,88,1093,114,752,57,1351
531,93,1095,124,750,65,1393
532,88,1140,100,702,47,1336
533,82,1067,117,709,45,1405
534,74,1086,103,696,57,1333
535,108,1153,122,668,56,1288
536,77,1154,96,662,31,1360
537,81,1095,105,706,40,1305
538,56,1123,110,718,56,1354
539,89,1127,130,719,51,1389
540,81,1179,118,718,24,1314
541,87,1118,109,695,29,1395
542,74,1172,97,707,47,1413
543,61,1110,98,724,33,1361
544,67,1213,102,697,39,1416
545,81,1157,100,680,58,1466
546,100,1230,107,710,72,1422
547,95,1222,117,717,50,1450
548,101,1226,101,727,47,1379
549,80,1229,130,753,40,1405
550,93,1193,116,737,42,1322
551,90,1255,125,756,36,1373
552,85,1218,121,790,44,1342
553,108,1253,108,753,43,1315
554,108,1299,135,797,27,1271
555,84,1279,110,757,42,1252
556,79,1202,106,779,41,1284
557,77,1184,93,744,56,1295
558,114,1198,106,793,41,1240
559,102,1280,104,782,42,1320
560,78,1316,106,789,34,1305
561,67,1320,111,785,47,1254
562,68,1305,125,806,63,1224
563,76,1362,115,788,39,1244
564,74,1337,113,813,53,1264
565,103,1312,117,816,91,1224
566,80,1305,101,817,45,1187
567,82,1394,111,874,33,1220
568,95,1431,106,823,35,1185
569,88,1338,111,853,73,1216
570,100,1436,109,849,53,1200
571,92,1410,115,841,65,1213
572,103,1486,116,850,70,1252
573,72,1480,114,855,60,1226
574,72,1425,122,869,76,1229
575,77,1425,108,850,64,1250
576,77,1482,113,906,61,1252
577,88,1505,101,899,76,1262
578,84,1488,99,868,44,1230
579,104,1493,87,867,28,1245
580,94,1434,114,863,62,1242
