/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,239,906,123,1264,24,1545
1,262,918,120,1291,35,1579
2,251,916,130,1217,29,1558
3,230,857,102,1219,20,1610
4,265,939,111,1212,28,1577
5,268,927,129,1195,31,1625
6,243,883,111,1231,24,1523
7,237,923,121,1201,35,1589
8,231,944,128,1270,30,1572
9,236,912,116,1235,24,1561
10,267,960,138,1282,38,1517
11,252,948,123,1302,15,1632
12,236,924,141,1258,29,1633
13,252,930,130,1208,31,1558
14,247,923,127,1214,31,1587
15,244,911,138,1212,27,1540
16,232,915,128,1255,39,1599
17,223,878,121,1237,33,1604
18,235,863,134,1252,27,1620
19,225,844,106,1158,32,1643
20,230,813,113,1239,24,1609
21,217,798,101,1196,22,1685
22,225,817,118,1311,31,1707
23,209,826,107,1308,26,1682
24,204,821,102,1331,28,1689
25,214,815,115,1357,33,1777
26,189,847,113,1389,29,1859
27,202,843,116,1363,25,1801
28,194,838,136,1361,34,1849
29,225,863,133,1386,32,1910
30,193,859,119,1397,35,1891
31,192,846,105,1400,22,1764
32,182,796,101,1351,34,1885
33,193,839,104,1385,35,1924
34,200,847,112,1325,45,1916
35,189,827,93,1440,37,1912
36,199,849,99,1453,38,1970
37,200,838,88,1390,32,1971
38,207,851,121,1434,29,1932
39,201,816,115,1394,34,1982
40,202,826,91,1379,35,2034
41,168,790,106,1345,33,2038
42,168,800,109,1355,35,2017
43,184,748,109,1312,32,2066
44,185,800,107,1266,30,2083
45,164,764,108,1274,27,2052
46,162,777,109,1331,41,2017
47,172,789,115,1285,35,1961
48,184,767,96,1299,31,1946
49,192,798,82,1298,36,1959
50,195,767,95,1372,39,1901
51,196,791,85,1318,39,1907
52,180,791,102,1319,40,1876
53,182,733,79,1173,32,1795
54,173,791,93,1189,32,1842
55,159,746,91,1186,30,1868
56,170,764,97,1211,34,1891
57,153,722,92,1197,29,1837
58,190,794,110,1180,34,1824
59,194,753,92,1114,29,1774
60,183,783,114,1184,27,1810
61,156,757,99,1176,35,1896
62,172,750,107,1057,26,1927
63,166,766,117,1057,23,1912
64,174,778,90,1061,30,1868
65,186,774,105,1014,31,1894
66,176,759,98,1086,33,1869
67,172,758,104,1081,40,1864
68,188,757,114,1029,27,1751
69,170,731,88,1082,43,1778
70,190,740,98,1140,37,1715
71,166,744,76,1075,38,1729
72,181,728,83,1081,41,1713
73,170,711,90,993,28,1793
74,162,662,72,1009,53,1827
75,146,646,79,965,37,1806
76,159,615,68,962,36,1837
77,167,628,88,1005,34,1939
78,183,650,83,1037,38,1923
79,183,639,77,998,46,1938
80,175,619,71,997,43,1923
81,153,598,71,976,35,1876
82,173,611,86,982,46,1929
83,154,577,66,1001,48,1922
84,140,577,65,1043,47,1921
85,135,533,63,1005,44,1952
86,128,550,63,1061,54,1963
87,152,532,79,1009,41,1921
88,149,566,69,1044,41,2010
89,152,533,69,1005,38,2048
90,144,548,78,1029,39,1917
91,163,557,66,1045,33,1883
92,154,585,80,1123,39,1963
93,142,561,80,1068,42,1917
94,142,569,73,1048,34,1898
95,158,562,73,1052,31,1925
96,150,584,101,1075,37,1915
97,171,578,104,1101,41,1912
98,174,600,95,1152,46,1870
99,167,576,69,1086,44,1913
100,179,605,79,1142,42,1878
101,161,565,69,1109,38,1789
102,189,569,95,1136,36,1803
103,165,568,77,1090,34,1716
104,152,577,81,1106,38,1760
105,155,576,65,1074,35,1755
106,150,529,63,1114,29,1758
107,160,562,62,1079,28,1719
108,165,548,69,1088,39,1766
109,172,558,83,1136,25,1753
110,176,519,66,1090,31,1759
111,168,519,99,1113,30,1753
112,167,530,75,1070,35,1782
113,151,511,52,1045,29,1723
114,152,531,74,1087,29,1761
115,136,488,43,1059,32,1694
116,146,530,55,1059,30,1764
117,143,506,72,1062,21,1707
118,130,511,54,1106,24,1670
119,135,535,64,1112,26,1669
120,142,559,60,1110,19,1664
121,138,538,53,1063,26,1597
122,125,519,67,1098,24,1622
123,130,552,66,1084,23,1578
124,134,563,57,1147,25,1648
125,118,550,53,1088,18,1644
126,139,546,47,1081,20,1575
127,122,520,52,1035,23,1603
128,121,545,49,1094,17,1589
129,137,576,61,1099,22,1654
