/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: ORB
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,27,277,23,239,18,184
1,28,287,24,243,19,194
2,29,291,24,243,19,193
3,28,281,23,233,18,185
4,28,288,23,234,19,190
5,28,283,24,242,19,193
6,28,282,24,240,19,191
7,27,271,22,221,20,204
8,26,264,22,229,17,175
9,26,266,23,230,17,179
10,27,272,22,221,18,181
11,25,259,21,218,19,192
12,26,262,21,218,19,199
13,28,287,22,224,18,180
14,27,273,21,216,18,185
15,27,271,22,226,20,201
16,26,267,22,226,19,199
17,25,253,21,218,18,187
18,26,266,21,217,19,191
19,27,271,23,235,18,187
20,27,274,22,228,18,182
21,26,260,23,233,17,177
22,27,279,22,227,17,178
23,26,266,23,230,17,172
24,26,263,22,229,18,182
25,26,266,21,216,18,183
26,27,271,21,219,18,185
27,27,272,21,216,18,183
28,28,284,22,224,19,196
29,27,278,22,226,18,183
30,28,283,23,230,16,168
31,26,268,22,229,18,187
32,27,273,24,241,20,201
33,26,262,23,230,19,199
34,26,268,23,236,19,192
35,26,269,22,223,20,206
36,25,255,23,230,17,174
37,25,258,23,230,19,195
38,27,270,21,214,20,201
39,27,271,24,249,19,193
40,27,272,23,233,19,194
41,25,258,23,232,19,199
42,26,266,24,247,17,178
43,25,255,24,242,19,196
44,26,261,23,239,18,189
45,26,266,23,237,19,190
46,25,257,23,232,18,189
47,26,266,23,236,18,181
48,27,278,24,241,19,196
49,26,264,23,232,20,201
50,26,260,25,253,19,199
51,27,273,23,233,20,202
52,27,274,24,242,20,200
53,26,266,23,230,20,203
54,28,281,24,241,19,195
55,27,271,23,236,20,204
56,25,258,24,243,21,214
57,27,277,23,239,21,210
58,28,286,24,240,19,199
59,29,298,23,232,19,198
60,28,288,23,239,19,191
61,28,283,23,236,20,202
62,27,275,23,239,19,196
63,28,280,21,210,20,203
64,26,267,23,236,20,206
65,27,270,22,223,19,196
66,27,279,22,227,19,196
67,27,279,23,231,17,172
68,27,274,22,223,17,178
69,27,272,22,229,20,201
70,27,274,22,229,20,202
71,26,269,23,238,18,188
72,30,301,22,223,19,190
73,28,284,23,230,19,190
74,27,277,23,232,18,189
75,30,301,23,235,20,203
76,30,303,23,238,19,196
77,30,305,23,232,21,210
78,30,307,24,244,20,206
79,30,300,22,228,20,203
80,30,307,24,245,20,201
81,30,303,24,245,21,214
82,31,315,24,249,20,201
83,30,308,24,243,20,203
84,30,307,24,241,19,195
