/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: AKAZE
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,122,935,235,624,9,1182
1,129,904,213,639,14,1234
2,123,943,224,620,9,1164
3,116,939,214,613,5,1278
4,118,934,211,605,5,1268
5,119,925,215,584,3,1279
6,117,948,210,572,7,1189
7,121,950,197,552,6,1273
8,127,994,213,578,5,1268
9,119,939,204,584,7,1290
10,127,978,184,564,5,1224
11,113,961,207,544,8,1266
12,112,965,201,572,8,1241
13,120,946,189,564,2,1205
14,118,973,204,565,5,1214
15,112,955,198,555,5,1199
16,122,1003,199,562,3,1246
17,101,1000,174,546,3,1242
18,114,1053,189,526,3,1234
19,98,1000,186,519,10,1250
20,102,1095,191,535,5,1233
21,108,1071,181,545,3,1257
22,106,1160,171,537,6,1289
23,125,1168,181,538,8,1309
24,122,1160,198,565,5,1299
25,119,1182,206,565,6,1342
26,123,1154,198,557,8,1367
27,129,1172,203,556,6,1339
28,135,1189,225,567,7,1366
29,134,1175,205,558,8,1379
30,127,1198,209,563,7,1347
31,120,1202,211,550,7,1313
32,114,1142,183,548,8,1368
33,118,1184,188,555,11,1396
34,112,1135,197,569,6,1361
35,119,1217,196,560,8,1377
36,104,1205,176,580,5,1370
37,94,1203,190,583,7,1393
38,90,1199,186,581,7,1421
39,102,1190,202,573,8,1429
40,107,1232,187,574,9,1453
41,99,1196,192,582,6,1493
42,97,1208,173,578,5,1469
43,92,1154,189,580,3,1452
44,91,1160,177,603,4,1515
45,106,1146,194,595,7,1521
46,104,1150,198,599,5,1485
47,102,1127,189,602,5,1433
48,112,1100,192,608,13,1437
49,94,1103,187,604,7,1424
50,90,1111,166,605,8,1392
51,106,1077,177,605,14,1372
52,103,1049,198,643,8,1380
53,100,961,192,654,9,1352
54,104,977,190,627,9,1394
55,101,963,194,648,4,1386
56,97,943,189,639,8,1414
57,82,898,183,651,8,1406
58,91,893,181,642,6,1426
59,85,889,186,629,5,1388
60,91,897,178,626,7,1442
61,85,892,176,656,8,1446
62,79,871,187,656,2,1460
63,86,877,185,661,7,1384
64,79,858,187,661,7,1362
65,82,837,173,647,4,1341
66,88,861,175,626,4,1358
67,94,835,170,634,12,1379
68,81,822,170,644,13,1284
69,81,863,169,653,9,1325
70,88,872,176,641,12,1291
71,83,858,174,626,10,1339
72,70,837,189,649,10,1296
73,70,758,180,625,13,1384
74,70,815,183,606,7,1428
75,60,826,167,564,14,1437
76,64,829,158,563,12,1459
77,72,859,159,557,18,1512
78,79,854,155,548,16,1501
79,65,806,157,545,17,1494
80,59,831,150,530,17,1508
81,62,819,148,533,14,1530
