/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
mode: SIFT
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,34,1326,31,1403,26,1693
1,42,1347,36,1415,34,1697
2,40,1339,35,1370,26,1625
3,34,1193,31,1326,33,1676
4,33,1278,31,1367,41,1700
5,27,1302,29,1370,33,1687
6,41,1248,35,1326,26,1683
7,29,1318,40,1268,30,1674
8,30,1332,36,1273,27,1739
9,32,1331,31,1263,26,1624
10,41,1289,46,1148,35,1669
11,35,1302,31,1192,25,1679
12,33,1276,34,1177,25,1606
13,41,1256,41,1130,23,1555
14,45,1215,40,1142,41,1650
15,41,1174,44,1108,36,1587
16,37,1177,38,1080,24,1686
17,35,1197,40,1035,42,1597
18,33,1184,43,1122,32,1658
19,30,1126,40,1089,36,1602
20,30,1109,27,1122,27,1613
21,24,1004,35,1083,29,1463
22,27,1076,34,1094,28,1589
23,21,1068,32,1083,22,1602
24,25,1052,39,1096,24,1699
25,36,1040,52,1110,40,1730
26,40,1063,31,1074,45,1726
27,30,1061,36,1044,28,1696
28,38,1088,29,1040,37,1733
29,35,1087,45,1073,34,1749
30,48,1105,51,1053,34,1784
31,47,1082,50,1026,36,1715
32,35,1054,49,1091,30,1625
33,34,1034,53,1047,40,1703
34,35,1090,44,1015,33,1638
35,47,1083,50,1024,51,1757
36,44,1076,53,1069,51,1734
37,41,1065,44,1082,39,1649
38,35,1078,35,1088,27,1654
39,50,1053,46,1070,35,1606
40,39,1055,40,1039,29,1709
41,38,1053,33,1054,32,1645
42,39,1067,42,1021,37,1597
43,46,1012,45,1003,33,1453
44,38,1041,62,1097,42,1486
45,26,1032,51,1114,38,1454
46,44,1060,39,1075,31,1568
47,39,1043,35,1088,30,1472
48,37,1062,37,1174,31,1457
49,36,1072,33,1135,41,1414
50,38,1100,42,1149,28,1561
51,48,1119,54,1170,31,1540
52,35,1163,42,1204,35,1474
53,34,1056,40,1239,32,1257
54,41,1139,38,1230,37,1362
55,33,1057,34,1212,27,1352
56,25,1102,34,1226,20,1385
57,44,1071,54,1297,30,1335
58,37,1166,42,1220,29,1360
59,38,1085,46,1271,38,1314
60,35,1147,46,1262,25,1367
61,23,1107,44,1288,28,1336
62,37,1040,27,1152,25,1280
63,32,1097,23,1141,25,1245
64,31,1141,35,1222,25,1263
65,32,1126,37,1205,30,1288
66,29,1113,35,1145,29,1332
67,34,1134,27,1151,21,1341
68,36,1114,28,1115,15,1280
69,30,1011,36,1191,17,1299
70,27,1081,35,1165,18,1365
71,33,1033,31,1126,23,1304
72,29,990,33,1147,20,1422
73,33,977,33,1194,23,1241
74,30,940,34,1083,18,1344
75,22,968,34,1150,22,1360
76,31,903,43,1101,28,1387
77,33,927,49,1104,35,1349
78,37,903,53,978,23,1412
79,35,850,36,1034,26,1336
80,36,916,49,1001,31,1449
81,33,912,39,971,34,1419
82,37,897,42,994,39,1475
83,37,911,51,977,31,1514
84,29,885,43,953,27,1529
85,36,879,53,1001,32,1553
86,27,899,38,960,26,1612
87,28,831,32,1030,32,1557
88,25,877,36,991,31,1630
89,32,850,42,1044,23,1571
90,34,921,40,1028,17,1615
91,29,876,36,1021,41,1601
92,30,947,33,1023,39,1661
93,30,889,27,1034,30,1647
94,29,943,36,1008,32,1585
95,38,949,42,1011,24,1596
96,25,916,26,1011,21,1627
97,32,925,38,1014,33,1641
98,29,951,38,958,21,1689
99,21,938,33,1017,26,1565
100,24,953,35,1006,24,1674
101,32,942,40,1046,36,1562
102,40,990,35,1015,44,1679
103,23,951,34,1060,25,1688
104,34,1026,36,1059,34,1695
105,33,1035,30,1033,24,1636
106,26,977,45,1075,27,1695
107,26,1044,30,1016,27,1639
108,32,1093,31,1018,29,1688
109,28,1066,28,1047,29,1690
110,30,984,29,997,24,1656
111,44,997,31,1025,25,1664
112,34,1052,37,955,24,1653
113,36,981,26,967,27,1702
114,27,1051,21,925,19,1713
115,30,960,26,1013,25,1673
116,36,1028,37,1008,31,1627
117,22,955,20,1043,30,1632
118,32,997,33,1058,25,1697
119,29,1010,20,1108,25,1696
120,21,1044,16,1036,18,1728
121,29,1023,24,1043,31,1669
122,28,1044,23,1066,23,1707
123,34,1046,28,1035,28,1609
124,21,1051,23,1060,27,1767
125,23,1067,30,1054,19,1667
126,21,1025,20,1066,20,1708
127,20,971,23,1020,22,1560
128,19,978,19,1071,16,1659
129,20,1012,22,1055,23,1601
130,23,1046,27,1057,12,1626
131,29,979,21,1103,26,1617
132,18,1041,29,1093,31,1608
133,25,983,24,1119,24,1669
134,18,1022,21,1098,26,1489
135,23,953,24,1129,32,1535
136,20,1018,18,1097,29,1682
137,19,988,20,1155,21,1696
138,38,1058,24,1167,33,1607
139,19,965,19,1156,25,1627
140,20,1034,22,1134,31,1665
141,21,1018,21,1129,23,1619
142,33,1035,32,1090,26,1679
143,25,968,26,1103,25,1624
144,26,1012,26,1142,30,1680
145,25,987,29,1116,32,1539
146,17,1014,24,1127,21,1622
147,26,986,24,1060,21,1619
148,22,1020,20,1105,36,1697
149,19,1032,20,1196,19,1675
150,18,992,25,1168,16,1655
151,18,990,21,1201,27,1716
152,18,993,24,1232,28,1718
153,30,971,22,1173,34,1776
154,22,1016,24,1220,28,1767
155,28,1004,26,1262,31,1753
156,23,1025,29,1297,32,1813
157,33,987,25,1297,31,1673
158,28,1069,37,1288,24,1771
159,32,1004,21,1257,34,1700
160,24,1011,27,1282,24,1767
161,30,1057,30,1307,17,1709
162,21,1034,19,1254,21,1789
163,26,1076,26,1357,25,1735
164,19,1014,36,1327,21,1778
165,22,1035,26,1313,23,1805
166,23,985,28,1295,25,1861
167,21,994,23,1261,25,1832
168,24,962,30,1247,26,1741
169,24,1014,32,1263,25,1804
170,46,1049,39,1221,42,1795
171,18,1059,30,1243,27,1760
172,23,1005,32,1167,29,1765
173,26,1045,29,1155,20,1705
174,45,1095,25,1143,37,1752
175,27,1087,28,1195,21,1702
176,23,1043,20,1229,26,1723
177,24,1030,20,1339,30,1746
178,33,1030,28,1284,39,1754
179,29,1089,33,1387,24,1658
180,16,1041,33,1448,29,1682
181,13,1062,19,1471,24,1704
182,12,976,23,1466,20,1712
183,15,1042,27,1459,16,1613
184,9,958,23,1413,17,1682
185,11,1010,21,1427,17,1730
186,14,977,20,1452,18,1772
187,16,988,20,1388,26,1590
188,16,1011,19,1332,23,1609
189,14,1022,34,1372,23,1587
190,12,920,24,1311,14,1675
191,18,903,35,1312,15,1587
192,15,880,23,1325,20,1590
193,25,931,27,1253,18,1497
194,17,920,19,1261,20,1438
195,27,976,28,1285,21,1529
196,23,871,13,1228,30,1470
197,12,881,11,1201,22,1436
198,30,873,21,1222,26,1380
199,30,918,26,1253,31,1400
200,12,920,18,1257,13,1406
201,8,933,15,1277,17,1449
202,16,869,31,1273,24,1503
203,15,898,26,1249,26,1459
204,9,881,24,1315,21,1561
205,10,899,14,1306,18,1562
206,13,894,11,1314,18,1560
207,11,925,20,1331,30,1550
208,8,904,16,1361,27,1488
209,17,983,24,1354,24,1552
210,16,1023,19,1406,27,1527
211,11,984,17,1338,17,1631
212,6,906,16,1342,21,1698
213,14,930,23,1405,24,1625
214,11,905,16,1451,25,1714
215,17,821,20,1412,23,1718
216,15,927,14,1502,25,1708
217,12,906,22,1462,22,1707
218,14,843,24,1436,21,1752
219,16,872,15,1453,26,1767
220,13,900,16,1479,25,1752
221,9,872,13,1533,26,1716
222,10,829,16,1499,29,1753
223,16,872,14,1493,28,1790
224,19,925,23,1519,21,1695
225,12,903,20,1472,26,1972
226,13,931,17,1451,16,1780
227,10,925,25,1540,24,1819
228,7,946,23,1591,28,1785
229,9,910,27,1583,22,1792
230,8,896,25,1653,27,1837
231,10,851,20,1591,23,1683
232,12,812,20,1615,24,1753
233,12,862,18,1587,20,1789
234,10,827,11,1623,16,1840
235,14,836,15,1682,21,1785
236,15,749,22,1699,20,1583
237,10,771,16,1701,20,1663
238,11,697,25,1801,29,1581
239,10,774,24,1721,22,1668
240,10,783,21,1661,11,1486
241,15,787,15,1561,19,1533
242,18,734,21,1580,22,1521
243,23,786,17,1592,29,1622
244,14,764,23,1652,22,1554
245,21,804,20,1670,23,1497
246,15,763,25,1710,29,1530
247,12,748,27,1654,24,1462
248,15,841,17,1653,18,1444
249,9,836,22,1539,23,1461
250,17,786,24,1514,32,1506
251,15,869,20,1523,20,1483
252,18,822,19,1518,19,1496
253,27,855,31,1586,23,1505
254,14,870,19,1568,21,1463
255,18,849,17,1652,17,1464
256,8,799,17,1586,16,1487
257,17,804,39,1738,18,1453
258,11,825,23,2064,19,1442
259,20,769,16,2066,27,1500
260,16,768,18,2060,19,1463
261,16,834,21,2073,26,1506
262,16,780,23,2121,20,1727
263,18,854,30,2086,16,1710
264,15,803,26,2151,19,1701
265,14,835,30,2058,22,1640
266,25,808,35,1934,26,1587
267,23,798,35,2047,22,1720
268,25,800,29,2217,11,1733
269,24,848,32,2299,17,1806
270,22,826,24,2277,22,1617
271,27,834,28,2465,25,1662
272,19,865,35,2464,23,1663
273,26,840,29,2440,22,1742
274,18,851,34,2332,25,1801
275,27,823,28,2396,30,1684
276,18,841,26,2562,22,1691
277,25,862,36,2472,29,1741
278,29,778,27,2471,23,1741
279,15,778,28,2469,23,1706
280,20,789,34,2522,26,1685
281,22,821,30,2728,23,1682
282,29,870,35,2852,31,1712
283,24,838,36,2920,18,1719
284,23,898,26,2871,22,1764
285,25,877,34,2851,16,1762
286,25,938,37,2759,17,1921
287,21,932,22,2399,19,1744
288,21,966,29,2288,25,1784
289,18,889,22,2246,29,1730
290,17,997,32,2148,27,1875
291,20,926,25,2132,26,1721
292,15,973,29,2120,26,1778
293,16,971,21,1990,25,1719
294,15,991,21,1869,27,1831
295,18,942,29,1981,22,1700
296,18,1008,21,1999,34,1760
297,26,915,29,1914,23,1694
298,19,996,19,2073,39,1765
299,18,890,31,2095,30,1691
300,18,938,29,2071,46,1670
301,23,947,36,2113,35,1635
302,16,934,22,2072,39,1602
303,20,886,38,2049,47,1569
304,16,944,27,2006,37,1495
305,17,942,18,2098,34,1544
306,23,982,34,2214,42,1513
307,27,867,27,2202,40,1599
308,19,977,34,2059,43,1490
309,19,938,31,2030,38,1446
310,31,895,39,1937,35,1529
311,25,942,32,2017,40,1645
312,18,937,18,2066,33,1616
313,23,944,30,1972,35,1546
314,25,952,31,1973,49,1636
315,19,934,28,1803,35,1681
316,33,976,34,1757,56,1600
317,31,959,29,1783,46,1599
318,23,909,24,1748,43,1655
319,24,942,32,1799,53,1703
320,25,987,40,1796,43,1619
321,30,902,38,1796,45,1744
322,28,993,38,1752,52,1706
323,23,913,36,1773,54,1783
324,30,972,33,1778,52,1664
325,24,993,39,1748,50,1727
326,17,1010,33,1854,50,1672
327,17,984,50,1752,53,1786
328,23,1067,38,1707,51,1782
329,26,1023,40,1625,54,1713
330,32,1055,48,1727,49,1705
331,20,973,22,1732,54,1776
332,16,1048,29,1781,42,1893
333,26,1013,30,1750,44,1707
334,19,1064,32,1691,54,1864
335,20,1106,28,1640,45,1815
336,25,1051,26,1656,52,1858
337,23,1058,26,1600,43,1874
338,22,1079,34,1709,41,1953
339,34,1041,37,1616,41,1770
340,34,1097,54,1798,46,1906
341,27,1118,47,1699,50,1734
342,29,1105,50,1788,40,1766
343,30,1195,38,1736,50,1801
344,26,1163,43,1892,46,1819
345,35,1100,42,1920,41,1795
346,43,1172,48,1941,40,1818
347,34,1153,53,1975,38,1744
348,35,1203,39,1985,40,1782
349,37,1162,39,1945,37,1809
350,45,1102,57,1840,39,1879
351,39,1156,50,1776,36,1958
352,43,1186,51,1679,47,1890
353,37,1060,56,1725,32,1715
354,33,1109,56,1747,41,1818
355,36,1120,52,1861,47,1747
356,34,1143,58,1797,43,1893
357,47,1123,54,1819,61,1752
358,39,1160,50,1786,48,1784
359,29,1132,58,1856,55,1800
360,35,1205,62,1871,47,1845
361,43,1119,57,1937,54,1759
362,38,1214,52,1980,48,1657
363,33,1197,63,1996,45,1761
364,35,1270,61,1933,56,1798
365,48,1217,63,1991,51,1862
366,52,1304,61,1969,50,1760
367,40,1207,53,1843,38,1807
368,33,1258,65,1744,43,1774
369,48,1185,68,1772,57,1876
370,34,1117,85,1668,57,1845
371,49,1177,68,1694,54,1805
372,41,1113,65,1617,50,1814
373,38,1165,78,1572,60,1684
374,41,1093,74,1540,65,1844
375,46,1088,61,1531,55,1790
376,52,1125,64,1492,53,1806
377,47,1059,72,1544,62,1784
378,54,1111,73,1655,62,1874
379,57,1107,86,1641,63,1891
380,49,1085,85,1697,41,1869
381,55,1087,63,1669,45,1907
382,42,1076,76,1651,56,1773
383,47,1077,76,1528,50,1859
384,43,1060,78,1658,47,1884
385,56,1110,81,1684,62,1900
386,55,1101,84,1620,52,1886
387,53,1124,72,1627,50,1937
388,48,1143,69,1700,52,1892
389,48,1175,82,1736,48,1902
390,44,1161,75,1632,62,1929
391,42,1183,59,1612,53,1913
392,44,1231,67,1615,46,1975
393,43,1216,59,1636,39,1984
394,38,1235,69,1641,57,1926
395,43,1220,62,1702,56,2004
396,37,1262,67,1690,49,2007
397,32,1277,67,1711,60,2010
398,35,1340,57,1747,51,2028
399,51,1286,78,1820,61,2028
400,45,1319,61,1815,60,2103
401,42,1365,62,1774,56,2010
402,46,1464,71,2057,48,2091
403,35,1429,68,1999,62,1924
404,37,1308,65,2083,67,1987
405,50,1372,57,2064,68,1922
406,47,1358,56,2086,81,2117
407,44,1371,72,2053,66,2060
408,38,1364,63,2023,54,2032
409,39,1433,44,1924,61,1911
410,44,1406,57,1910,70,1978
411,43,1472,62,1814,59,1978
412,31,1379,57,1821,47,1963
413,32,1390,51,1865,56,1933
414,30,1340,52,1903,47,1839
415,42,1361,51,1948,48,1950
416,39,1315,53,1961,46,1831
417,25,1316,49,1931,53,1891
418,34,1368,40,1969,55,1874
419,27,1237,50,1889,61,1856
420,43,1263,53,1829,69,1932
421,34,1347,62,1797,52,1948
422,39,1339,59,1817,74,2003
423,40,1400,48,1808,64,1981
424,32,1362,48,1754,78,1939
425,39,1411,54,1950,79,1965
426,39,1356,54,1945,65,1874
427,36,1425,67,1936,72,2002
428,42,1407,72,1975,89,1971
429,34,1432,55,2055,75,2090
430,45,1420,75,2095,72,1940
431,52,1441,71,2081,63,1987
432,50,1405,73,2017,84,1940
433,45,1401,81,2087,65,2038
434,54,1396,73,2123,67,2031
435,52,1413,84,2020,68,2043
436,51,1375,101,2061,82,2014
437,45,1430,67,2026,53,2021
438,39,1410,74,1953,48,2011
439,38,1428,71,1943,53,2031
440,40,1424,54,1863,57,1977
441,37,1412,66,1827,69,2053
442,50,1340,52,1813,64,1933
443,37,1352,58,1961,60,1998
444,48,1320,61,1919,64,1909
445,42,1356,66,1993,74,1944
446,47,1333,65,1922,77,2024
447,37,1258,56,1881,63,1912
448,48,1340,67,1895,68,1961
449,41,1328,80,1915,55,1811
