/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
mode: AKAZE
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,9,635,10,624,5,935
1,7,613,7,639,5,904
2,10,622,13,620,9,943
3,9,584,7,613,10,939
4,8,593,8,605,9,934
5,5,585,8,584,10,925
6,5,576,10,572,8,948
7,5,592,11,552,7,950
8,5,594,11,578,7,994
9,9,606,11,584,9,939
10,3,608,9,564,10,978
11,6,603,12,544,15,961
12,9,587,10,572,14,965
13,2,584,9,564,13,946
14,3,584,12,565,13,973
15,2,589,9,555,11,955
16,5,585,19,562,18,1003
17,6,578,16,546,14,1000
18,5,577,14,526,12,1053
19,4,562,10,519,13,1000
20,6,570,16,535,18,1095
21,6,553,10,545,15,1071
22,7,577,11,537,8,1160
23,9,580,9,538,9,1168
24,4,583,10,565,13,1160
25,3,576,12,565,13,1182
26,8,583,10,557,24,1154
27,8,581,17,556,15,1172
28,8,591,9,567,21,1189
29,5,580,11,558,11,1175
30,8,588,17,563,18,1198
31,11,584,16,550,17,1202
32,4,570,16,548,18,1142
33,10,569,14,555,21,1184
34,9,585,13,569,16,1135
35,5,580,18,560,23,1217
36,10,589,10,580,15,1205
37,11,562,13,583,15,1203
38,7,566,19,581,19,1199
39,8,562,16,573,20,1190
40,11,570,15,574,20,1232
41,13,561,16,582,20,1196
42,8,577,17,578,17,1208
43,12,567,19,580,24,1154
44,10,570,18,603,23,1160
45,12,586,16,595,20,1146
46,12,587,17,599,29,1150
47,12,583,16,602,33,1127
48,12,588,15,608,29,1100
49,6,592,10,604,26,1103
50,3,589,12,605,22,1111
51,7,597,11,605,23,1077
52,8,590,13,643,21,1049
53,9,573,13,654,16,961
54,7,587,13,627,19,977
55,8,572,17,648,21,963
56,12,555,12,639,22,943
57,9,543,16,651,11,898
58,13,568,14,642,15,893
59,4,553,10,629,14,889
60,10,548,6,626,11,897
61,10,560,6,656,11,892
62,4,564,8,656,10,871
63,8,582,6,661,12,877
64,4,569,12,661,12,858
65,8,574,10,647,13,837
66,7,596,13,626,15,861
67,10,596,11,634,16,835
68,10,582,12,644,20,822
69,14,555,14,653,19,863
70,13,557,17,641,17,872
71,11,546,16,626,21,858
72,14,536,14,649,23,837
73,12,531,13,625,22,758
74,11,505,14,606,21,815
75,15,494,16,564,24,826
76,19,481,23,563,25,829
77,17,487,17,557,18,859
78,12,482,19,548,19,854
79,21,454,18,545,15,806
80,25,479,21,530,16,831
81,19,465,28,533,22,819
82,16,447,19,526,26,843
83,16,436,24,529,19,845
84,19,450,19,514,17,853
85,14,450,13,509,15,852
86,15,444,19,503,23,879
87,13,427,14,519,18,867
88,10,433,14,499,17,887
89,13,425,18,501,16,883
90,14,432,15,494,9,908
91,9,441,13,496,16,889
92,8,440,11,491,19,942
93,12,440,12,505,17,914
94,11,457,12,504,16,878
95,10,457,12,497,15,885
96,8,463,14,504,15,912
97,9,447,18,527,19,918
98,9,462,18,528,19,949
99,7,466,13,512,24,903
100,6,463,14,494,21,923
101,9,468,16,508,26,923
102,11,491,17,519,23,937
103,10,474,16,508,18,915
104,13,478,16,506,26,913
105,17,461,24,495,21,877
106,14,467,14,492,15,891
107,19,486,17,481,17,893
108,20,484,17,480,15,887
109,16,488,12,473,21,889
110,17,452,17,480,13,871
111,12,446,14,473,12,902
112,11,453,16,475,14,878
113,11,458,16,482,13,868
114,10,458,10,472,10,884
115,16,451,12,478,13,873
116,10,462,9,481,12,855
117,20,449,13,510,15,903
118,18,447,13,500,15,929
119,15,460,14,498,16,869
120,12,463,12,499,15,862
121,8,466,9,488,12,846
122,10,456,6,493,14,861
123,6,455,9,508,21,874
124,6,472,5,502,7,918
125,16,455,12,505,19,881
126,13,466,10,511,12,876
127,15,448,18,497,16,846
128,14,454,12,510,9,881
129,12,454,10,519,12,853
130,9,457,11,499,12,906
131,15,462,15,515,11,889
132,10,479,14,520,13,899
133,11,479,9,537,9,894
134,9,481,14,544,17,894
135,10,484,4,550,16,904
136,8,496,10,557,16,933
137,13,482,16,570,23,952
138,9,497,12,549,18,904
139,8,499,10,550,7,920
140,13,498,15,546,19,927
