/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: ORB
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,13,133,16,166,13,134
1,14,145,18,181,13,134
2,14,140,15,159,12,122
3,12,127,15,156,13,131
4,13,133,15,150,12,120
5,13,133,16,162,12,127
6,13,136,16,162,13,136
7,13,133,15,155,14,140
8,13,136,14,148,13,131
9,13,135,14,149,12,128
10,13,136,14,140,12,128
11,12,126,14,149,13,131
12,12,120,14,143,12,122
13,13,130,13,137,12,126
14,12,128,13,132,14,145
15,12,127,13,137,12,128
16,12,124,15,155,13,138
17,11,118,13,136,12,123
18,13,130,13,139,13,136
19,13,130,14,142,11,115
20,12,123,13,136,13,131
21,11,113,13,139,11,117
22,13,131,14,140,12,125
23,11,113,14,141,14,141
24,12,122,13,134,12,122
25,11,117,12,127,12,127
26,12,124,14,143,11,117
27,12,124,12,129,12,128
28,13,132,13,134,13,135
29,11,119,14,143,12,120
30,10,106,14,143,12,124
31,12,125,13,133,11,119
32,13,130,14,145,12,126
33,13,135,13,131,12,127
34,12,127,13,137,12,129
35,12,126,13,139,12,126
36,12,127,14,142,11,119
37,14,145,14,144,13,130
38,13,136,12,127,12,127
39,12,126,14,149,11,111
40,13,131,14,145,11,116
41,12,129,14,143,11,113
42,13,136,14,149,12,123
43,13,134,14,143,12,127
44,14,140,15,150,11,112
45,12,129,14,145,12,127
46,13,139,15,154,12,122
47,12,129,15,150,12,129
48,13,130,15,156,11,117
49,14,140,14,145,11,111
50,13,137,15,153,12,122
51,14,140,14,147,12,128
52,14,144,15,155,13,130
53,15,150,14,142,11,118
54,13,139,15,155,11,113
55,13,138,14,145,13,134
56,12,127,14,148,12,129
57,14,149,15,153,11,119
58,13,133,16,165,12,127
59,14,148,15,154,12,126
60,13,137,13,138,11,116
61,13,136,14,143,11,112
62,14,145,15,150,12,129
63,13,139,13,131,12,126
64,13,137,14,140,11,119
65,15,152,13,134,11,116
66,14,144,13,130,12,129
67,15,156,12,128,11,116
68,15,151,14,141,11,119
69,16,160,15,151,12,127
70,15,152,15,156,11,119
71,15,157,14,146,12,124
72,15,151,14,142,12,122
73,16,162,15,150,12,120
74,16,165,15,157,12,121
75,16,163,16,167,11,113
76,14,143,15,157,12,123
77,15,150,16,160,12,128
78,14,140,17,173,12,126
79,15,156,15,159,13,133
80,15,155,16,169,11,114
81,15,155,18,181,12,129
82,18,182,17,177,15,150
83,16,168,18,185,13,135
84,14,149,16,165,13,133
85,17,175,17,174,13,131
86,14,148,16,166,12,121
87,16,160,16,162,12,121
88,16,161,17,172,12,126
89,15,151,16,167,13,133
90,16,163,18,185,13,131
91,15,157,17,170,13,136
92,15,152,16,160,12,126
93,15,152,17,173,12,125
94,15,159,17,174,11,113
95,15,155,16,163,11,116
96,14,148,16,162,11,113
97,15,154,15,158,12,125
98,14,149,15,150,11,114
99,15,151,15,156,11,115
100,15,158,14,149,12,125
101,14,147,13,138,11,119
102,16,163,15,151,12,126
103,14,149,15,153,12,127
104,15,154,16,164,11,114
105,17,171,16,160,12,122
106,16,167,15,158,12,122
107,16,163,16,168,14,140
108,16,160,18,187,12,128
109,17,175,17,174,11,115
110,15,153,16,167,11,115
111,14,147,16,168,11,118
112,15,156,16,169,11,118
113,14,149,15,157,12,129
114,15,150,16,161,11,118
115,14,148,15,155,12,125
116,14,146,15,154,12,121
117,13,134,15,154,12,126
118,13,137,14,145,10,105
119,14,144,16,162,10,106
120,14,140,15,156,11,117
121,14,143,13,131,12,127
122,14,141,14,148,13,134
123,13,139,14,144,12,120
124,14,149,15,155,12,129
125,14,148,15,156,12,125
126,14,145,15,152,11,119
127,16,161,15,158,11,114
128,17,171,14,149,12,122
129,15,155,14,147,13,134
