/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: AKAZE
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,125,635,102,624,9,1182
1,125,613,106,639,6,1234
2,125,622,107,620,9,1164
3,99,584,96,613,9,1278
4,117,593,104,605,13,1268
5,111,585,101,584,9,1279
6,113,576,94,572,11,1189
7,110,592,83,552,6,1273
8,120,594,122,578,6,1268
9,117,606,113,584,8,1290
10,121,608,100,564,7,1224
11,111,603,89,544,11,1266
12,109,587,115,572,6,1241
13,104,584,98,564,8,1205
14,99,584,98,565,12,1214
15,97,589,105,555,6,1199
16,117,585,107,562,9,1246
17,101,578,100,546,9,1242
18,97,577,90,526,8,1234
19,97,562,87,519,13,1250
20,99,570,89,535,14,1233
21,93,553,97,545,14,1257
22,102,577,88,537,8,1289
23,113,580,100,538,9,1309
24,112,583,104,565,8,1299
25,112,576,112,565,13,1342
26,115,583,117,557,13,1367
27,119,581,109,556,13,1339
28,123,591,107,567,12,1366
29,125,580,113,558,12,1379
30,119,588,103,563,13,1347
31,109,584,96,550,10,1313
32,108,570,85,548,13,1368
33,108,569,94,555,10,1396
34,105,585,98,569,12,1361
35,114,580,94,560,12,1377
36,92,589,88,580,13,1370
37,91,562,93,583,14,1393
38,97,566,97,581,11,1421
39,103,562,99,573,7,1429
40,96,570,102,574,17,1453
41,101,561,105,582,12,1493
42,84,577,92,578,11,1469
43,91,567,97,580,10,1452
44,89,570,91,603,10,1515
45,95,586,90,595,9,1521
46,104,587,84,599,13,1485
47,102,583,86,602,11,1433
48,103,588,97,608,16,1437
49,92,592,78,604,11,1424
50,81,589,86,605,14,1392
51,84,597,88,605,15,1372
52,101,590,108,643,13,1380
53,92,573,99,654,16,1352
54,94,587,111,627,11,1394
55,91,572,97,648,9,1386
56,76,555,92,639,10,1414
57,75,543,89,651,8,1406
58,77,568,85,642,11,1426
59,75,553,87,629,14,1388
60,87,548,91,626,15,1442
61,79,560,80,656,16,1446
62,84,564,72,656,10,1460
63,95,582,78,661,8,1384
64,84,569,81,661,11,1362
65,86,574,72,647,9,1341
66,88,596,72,626,7,1358
67,95,596,71,634,7,1379
68,83,582,77,644,12,1284
69,71,555,62,653,9,1325
70,76,557,79,641,9,1291
71,77,546,65,626,11,1339
72,69,536,63,649,17,1296
73,57,531,47,625,15,1384
74,57,505,64,606,15,1428
75,51,494,50,564,10,1437
76,60,481,56,563,14,1459
77,57,487,59,557,11,1512
78,62,482,66,548,15,1501
79,59,454,76,545,14,1494
80,60,479,72,530,14,1508
81,55,465,73,533,23,1530
82,45,447,73,526,22,1566
83,50,436,77,529,15,1544
84,52,450,74,514,13,1540
85,54,450,81,509,14,1547
86,52,444,69,503,12,1579
87,53,427,89,519,11,1562
88,45,433,71,499,21,1594
89,43,425,71,501,12,1596
90,50,432,68,494,9,1533
91,50,441,63,496,11,1474
92,53,440,69,491,16,1521
93,45,440,72,505,15,1568
94,41,457,72,504,11,1498
95,42,457,60,497,10,1526
96,47,463,61,504,14,1497
97,52,447,58,527,16,1548
98,45,462,52,528,19,1510
99,43,466,63,512,14,1470
100,46,463,63,494,16,1426
101,46,468,59,508,14,1439
102,58,491,62,519,18,1455
103,44,474,53,508,7,1354
104,59,478,74,506,17,1413
105,53,461,64,495,16,1392
106,51,467,63,492,12,1410
107,59,486,69,481,14,1390
108,61,484,57,480,14,1383
109,59,488,66,473,16,1375
110,46,452,51,480,11,1356
111,48,446,56,473,9,1341
112,46,453,59,475,16,1343
113,48,458,56,482,12,1315
114,56,458,62,472,15,1324
115,60,451,62,478,15,1273
116,51,462,57,481,14,1314
117,65,449,65,510,12,1289
118,54,447,57,500,6,1236
119,46,460,57,498,15,1270
120,55,463,61,499,10,1247
121,43,466,56,488,4,1239
122,43,456,58,493,12,1237
123,48,455,61,508,15,1187
124,53,472,64,502,6,1181
125,39,455,55,505,12,1189
126,45,466,60,511,13,1126
127,43,448,58,497,13,1165
128,39,454,46,510,12,1160
129,41,454,43,519,10,1179
130,36,457,46,499,10,1152
131,35,462,49,515,11,1132
132,45,479,51,520,11,1118
133,44,479,35,537,6,1109
134,40,481,36,544,15,1057
135,38,484,37,550,9,1090
136,41,496,38,557,11,1085
137,31,482,31,570,13,1097
138,34,497,41,549,10,1096
139,30,499,40,550,9,1111
140,28,498,42,546,13,1121
141,29,500,37,550,11,1103
142,43,506,33,539,10,1130
143,27,501,31,555,7,1202
144,29,502,36,563,9,1166
145,30,498,30,557,6,1179
146,31,520,38,570,13,1179
147,28,503,26,554,14,1229
148,26,513,26,592,13,1242
149,24,500,24,591,16,1274
150,21,491,33,588,14,1276
151,18,512,38,577,16,1240
152,32,522,45,579,10,1259
153,25,528,36,585,15,1305
154,22,525,25,588,9,1288
155,24,536,39,621,11,1297
156,28,530,28,614,14,1326
157,30,526,26,595,16,1303
158,29,545,39,574,15,1310
159,28,538,39,581,11,1342
160,30,541,30,598,18,1336
161,31,557,36,611,16,1393
162,35,535,47,605,20,1429
163,36,548,43,627,21,1388
164,31,548,37,610,21,1435
165,35,550,51,615,24,1441
166,32,548,38,612,20,1382
167,35,547,47,614,14,1444
168,38,537,53,595,19,1467
169,39,547,42,590,16,1451
170,43,536,42,599,16,1399
171,43,532,39,606,16,1465
172,33,540,39,612,17,1455
173,46,566,37,600,15,1457
174,46,562,38,598,15,1442
175,36,564,40,631,19,1428
176,54,594,38,668,16,1473
177,44,580,44,673,9,1485
178,46,577,41,652,13,1424
179,35,571,29,656,9,1475
180,27,573,29,678,12,1480
181,32,587,23,663,15,1464
182,34,567,21,643,10,1413
183,36,564,19,634,7,1372
184,31,526,11,626,10,1335
185,35,551,21,631,10,1383
186,34,537,16,619,5,1403
187,33,526,18,591,6,1405
188,26,508,19,575,10,1435
189,35,532,22,583,10,1505
190,33,525,22,577,12,1460
191,31,529,20,583,14,1450
192,33,519,14,562,9,1444
193,27,522,17,588,16,1459
194,30,513,18,587,15,1410
195,32,519,20,596,17,1371
196,28,498,15,611,13,1323
197,30,506,22,628,14,1321
198,24,478,19,633,15,1326
199,19,496,25,624,12,1340
200,22,492,20,601,18,1336
201,31,489,29,599,13,1366
202,25,482,22,598,17,1349
203,25,485,22,614,11,1377
204,31,491,22,622,15,1363
205,26,522,19,609,13,1411
206,31,512,21,641,16,1440
207,28,537,14,632,17,1453
208,20,521,21,617,19,1448
209,17,546,25,635,16,1439
210,17,527,25,653,22,1496
211,16,524,20,620,24,1510
212,11,500,22,630,20,1487
213,17,487,24,629,16,1442
214,19,469,22,632,21,1489
215,16,457,19,636,20,1517
216,15,470,15,634,16,1487
217,15,462,18,613,13,1460
218,20,449,15,592,14,1442
219,17,448,19,574,17,1349
220,21,444,18,573,18,1362
221,21,461,13,571,15,1386
222,22,453,16,550,16,1359
223,20,450,15,556,19,1381
224,25,456,16,571,18,1377
225,22,446,15,553,17,1431
226,22,437,16,568,15,1471
227,26,433,13,564,13,1513
228,22,429,17,579,15,1515
229,26,428,14,578,15,1545
230,16,413,18,592,14,1559
231,23,422,12,575,13,1539
232,13,418,15,556,8,1521
233,18,423,17,532,16,1457
234,26,402,18,546,12,1354
235,27,405,16,576,15,1361
236,22,400,10,579,14,1325
237,23,428,10,562,19,1331
238,26,400,16,556,21,1357
239,25,412,11,564,16,1370
240,26,415,13,569,14,1444
241,25,417,13,569,20,1467
242,26,421,17,583,14,1494
243,30,432,15,570,15,1467
244,24,418,19,558,14,1476
