/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SIFT
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,137,1693,294,1403,28,2316
1,117,1697,298,1415,30,2351
2,144,1625,296,1370,21,2231
3,131,1676,263,1326,33,2422
4,142,1700,297,1367,22,2331
5,142,1687,280,1370,23,2455
6,144,1683,269,1326,28,2203
7,146,1674,280,1268,24,2508
8,132,1739,261,1273,28,2380
9,140,1624,247,1263,31,2531
10,140,1669,242,1148,24,2367
11,141,1679,241,1192,28,2445
12,147,1606,261,1177,38,2520
13,131,1555,243,1130,41,2381
14,143,1650,240,1142,46,2631
15,127,1587,235,1108,27,2527
16,154,1686,236,1080,34,2660
17,123,1597,200,1035,23,2620
18,140,1658,242,1122,26,2600
19,123,1602,234,1089,29,2690
20,131,1613,230,1122,23,2609
21,128,1463,210,1083,25,2615
22,127,1589,231,1094,32,2781
23,118,1602,215,1083,32,2821
24,143,1699,230,1096,30,2783
25,133,1730,240,1110,24,2828
26,148,1726,218,1074,29,3016
27,145,1696,215,1044,20,2982
28,139,1733,220,1040,33,3206
29,123,1749,236,1073,26,3186
30,137,1784,208,1053,21,3268
31,127,1715,205,1026,31,3037
32,120,1625,222,1091,41,3255
33,132,1703,240,1047,39,3312
34,127,1638,224,1015,42,3207
35,120,1757,223,1024,36,3182
36,113,1734,225,1069,40,3221
37,125,1649,202,1082,37,3184
38,106,1654,221,1088,37,3128
39,113,1606,214,1070,43,3125
40,121,1709,214,1039,38,3162
41,99,1645,187,1054,42,3209
42,108,1597,182,1021,29,3220
43,102,1453,182,1003,32,3232
44,118,1486,195,1097,41,3217
