/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
0,20,906,30,1045,23,1264
1,23,918,26,1058,26,1291
2,24,916,23,982,29,1217
3,24,857,34,944,25,1219
4,24,939,21,935,17,1212
5,25,927,21,957,21,1195
6,25,883,25,940,14,1231
7,24,923,23,866,22,1201
8,25,944,32,866,18,1270
9,28,912,35,847,31,1235
10,30,960,33,821,27,1282
11,21,948,21,818,28,1302
12,27,924,21,843,22,1258
13,24,930,22,836,25,1208
14,28,923,32,816,28,1214
15,38,911,33,819,31,1212
16,29,915,27,837,30,1255
17,37,878,31,797,30,1237
18,24,863,22,833,21,1252
19,28,844,32,797,34,1158
20,26,813,27,813,42,1239
21,25,798,30,784,24,1196
22,24,817,23,796,38,1311
23,20,826,26,759,34,1308
24,25,821,27,815,27,1331
25,29,815,34,824,41,1357
26,19,847,36,821,36,1389
27,33,843,34,806,37,1363
28,37,838,35,807,41,1361
29,38,863,36,774,33,1386
30,38,859,31,775,39,1397
31,37,846,31,768,32,1400
32,34,796,26,774,29,1351
33,25,839,38,767,25,1385
34,37,847,32,789,33,1325
35,31,827,32,805,35,1440
36,32,849,40,810,26,1453
37,27,838,29,838,29,1390
38,35,851,35,798,29,1434
39,19,816,38,784,38,1394
40,27,826,32,795,30,1379
41,36,790,33,791,34,1345
42,29,800,32,795,45,1355
43,25,748,37,752,44,1312
44,32,800,31,804,47,1266
45,24,764,30,780,35,1274
46,31,777,27,742,29,1331
47,28,789,31,756,30,1285
48,20,767,31,756,28,1299
49,28,798,39,745,37,1298
50,27,767,44,772,35,1372
51,30,791,35,822,33,1318
52,32,791,53,786,39,1319
53,28,733,38,813,31,1173
54,25,791,41,829,48,1189
55,32,746,44,825,42,1186
56,27,764,49,858,54,1211
57,23,722,39,859,41,1197
58,18,794,23,847,33,1180
59,28,753,36,867,43,1114
60,19,783,32,854,27,1184
61,15,757,39,870,34,1176
62,24,750,37,870,30,1057
63,28,766,48,858,41,1057
64,27,778,55,877,34,1061
65,29,774,42,887,40,1014
66,22,759,36,859,40,1086
67,28,758,34,858,37,1081
68,24,757,38,880,32,1029
69,28,731,36,860,55,1082
70,25,740,28,850,36,1140
71,31,744,31,872,37,1075
72,35,728,61,866,46,1081
73,27,711,29,848,30,993
74,38,662,44,788,32,1009
75,24,646,24,768,26,965
76,28,615,46,751,32,962
77,38,628,37,754,31,1005
78,29,650,38,717,26,1037
79,25,639,32,712,31,998
80,32,619,46,700,36,997
81,32,598,37,692,27,976
82,29,611,40,684,32,982
83,29,577,35,641,25,1001
84,23,577,33,649,32,1043
85,27,533,31,654,25,1005
86,25,550,36,646,24,1061
87,28,532,37,647,36,1009
88,26,566,32,656,30,1044
